,biol.endpoints,hydro.endpoints,InterceptCoef,VariableCoef,Deviance,AIC,NullDeviance,InterceptPvalue,VariablePvalue,Delta,n
37,ASCI,FA_Dur,0.342226538,-0.470830907,25.95986226,29.95986226,30.31640649,0.500095914,0.164454736,Positive,22
38,ASCI,FA_Mag,0.640527966,-0.823202101,22.22736762,26.22736762,37.35129634,0.339203187,0.281125852,Positive,31
39,ASCI,FA_Tim,0.693147181,NA,15.27634004,17.27634004,15.27634004,0.257674455,0.257674455,Positive,12
40,ASCI,Q99,-0.81287213,-0.002350197,320.0039579,324.0039579,328.0827312,1.51E-08,0.054014438,Positive,278
41,ASCI,SP_Dur,0.64250902,-0.040613699,145.8720859,149.8720859,152.9469245,0.002542603,0.019440713,Positive,114
42,ASCI,SP_Mag,-0.914663395,-0.002875486,257.4045305,261.4045305,264.845407,2.61E-08,0.068223182,Positive,235
43,ASCI,SP_ROC,-0.58476439,-29.82652287,232.2682215,236.2682215,235.6389381,0.000229929,0.225065582,Positive,183
44,ASCI,SP_Tim,-0.105838922,-0.057274849,306.0206882,310.0206882,339.7253854,0.464855995,6.36E-06,Positive,256
45,ASCI,Wet_BFL_Dur,-0.015213579,-0.031875656,310.6330662,314.6330662,348.4935205,0.923651967,4.41E-07,Positive,268
46,ASCI,Wet_BFL_Mag_10,-0.425490419,-1.691973256,215.9102922,219.9102922,219.381975,0.011861442,0.208108331,Positive,166
47,ASCI,Wet_BFL_Mag_50,-0.032807857,-0.39314844,227.0274183,231.0274183,230.7860826,0.846129372,0.246953663,Positive,167
48,ASCI,Wet_Tim,0.71206515,-0.215807623,112.7311237,116.7311237,129.6891998,0.002202136,0.023973135,Positive,96
49,ASCI,DS_Dur_WS,-0.719412347,0.003755111,238.3543505,242.3543505,239.0782805,0.000473995,0.40479365,Negative,195
50,ASCI,DS_Mag_50,0.086417207,0.441831545,174.8786354,178.8786354,184.0085587,0.644262199,0.039125437,Negative,133
