"","site","Hydro_Metric","Biol","Threshold","Bio_threshold","High","Low","Direction"
"1",101010,"DS_Dur_WS","ASCI","Threshold25",0.86,100,NA,"High"
"2",101010,"DS_Dur_WS","ASCI","Threshold25",0.94,100,NA,"High"
"3",101010,"DS_Dur_WS","ASCI","Threshold50",0.75,100,NA,"High"
"4",101010,"DS_Dur_WS","ASCI","Threshold50",0.86,100,NA,"High"
"5",101010,"DS_Dur_WS","ASCI","Threshold50",0.94,100,NA,"High"
"6",101010,"DS_Dur_WS","ASCI","Threshold75",0.75,75,25,"High"
"7",101010,"DS_Dur_WS","ASCI","Threshold75",0.86,83.3333333333333,16.6666666666667,"High"
"8",101010,"DS_Dur_WS","ASCI","Threshold75",0.94,85.7142857142857,14.2857142857143,"High"
"9",101010,"DS_Dur_WS","CSCI","Threshold25",0.79,100,NA,"High"
"10",101010,"DS_Dur_WS","CSCI","Threshold25",0.92,100,NA,"High"
"11",101010,"DS_Dur_WS","CSCI","Threshold50",0.79,100,NA,"High"
"12",101010,"DS_Dur_WS","CSCI","Threshold50",0.92,87.5,12.5,"High"
"13",101010,"DS_Dur_WS","CSCI","Threshold75",0.63,50,50,"Uncertain"
"14",101010,"DS_Dur_WS","CSCI","Threshold75",0.79,83.3333333333333,16.6666666666667,"High"
"15",101010,"DS_Dur_WS","CSCI","Threshold75",0.92,77.7777777777778,22.2222222222222,"High"
"16",101010,"Q99","ASCI","Threshold25",0.94,100,NA,"High"
"17",101010,"Q99","ASCI","Threshold50",0.94,100,NA,"High"
"18",101010,"Q99","ASCI","Threshold75",0.94,100,NA,"High"
"19",101010,"Q99","CSCI","Threshold25",0.92,100,NA,"High"
"20",101010,"Q99","CSCI","Threshold50",0.92,100,NA,"High"
"21",101010,"Q99","CSCI","Threshold75",0.92,100,NA,"High"
"22",101010,"SP_Dur","ASCI","Threshold25",0.75,16.6666666666667,83.3333333333333,"Low"
"23",101010,"SP_Dur","ASCI","Threshold25",0.86,14.2857142857143,85.7142857142857,"Low"
"24",101010,"SP_Dur","ASCI","Threshold25",0.94,14.2857142857143,85.7142857142857,"Low"
"25",101010,"SP_Dur","ASCI","Threshold50",0.75,14.2857142857143,85.7142857142857,"Low"
"26",101010,"SP_Dur","ASCI","Threshold50",0.86,12.5,87.5,"Low"
"27",101010,"SP_Dur","ASCI","Threshold50",0.94,10,90,"Low"
"28",101010,"SP_Dur","ASCI","Threshold75",0.75,10,90,"Low"
"29",101010,"SP_Dur","ASCI","Threshold75",0.86,9.09090909090909,90.9090909090909,"Low"
"30",101010,"SP_Dur","ASCI","Threshold75",0.94,9.09090909090909,90.9090909090909,"Low"
"31",101010,"SP_Tim","CSCI","Threshold25",0.63,100,NA,"High"
"32",101010,"SP_Tim","CSCI","Threshold25",0.79,100,NA,"High"
"33",101010,"SP_Tim","CSCI","Threshold25",0.92,100,NA,"High"
"34",101010,"SP_Tim","CSCI","Threshold50",0.63,100,NA,"High"
"35",101010,"SP_Tim","CSCI","Threshold50",0.79,100,NA,"High"
"36",101010,"SP_Tim","CSCI","Threshold50",0.92,100,NA,"High"
"37",101010,"SP_Tim","CSCI","Threshold75",0.63,100,NA,"High"
"38",101010,"SP_Tim","CSCI","Threshold75",0.79,100,NA,"High"
"39",101010,"SP_Tim","CSCI","Threshold75",0.92,100,NA,"High"
"40",101011,"DS_Dur_WS","ASCI","Threshold25",0.94,100,NA,"High"
"41",101011,"DS_Dur_WS","ASCI","Threshold50",0.86,100,NA,"High"
"42",101011,"DS_Dur_WS","ASCI","Threshold50",0.94,100,NA,"High"
"43",101011,"DS_Dur_WS","ASCI","Threshold75",0.75,75,25,"High"
"44",101011,"DS_Dur_WS","ASCI","Threshold75",0.86,75,25,"High"
"45",101011,"DS_Dur_WS","ASCI","Threshold75",0.94,83.3333333333333,16.6666666666667,"High"
"46",101011,"DS_Dur_WS","CSCI","Threshold25",0.79,100,NA,"High"
"47",101011,"DS_Dur_WS","CSCI","Threshold25",0.92,100,NA,"High"
"48",101011,"DS_Dur_WS","CSCI","Threshold50",0.79,100,NA,"High"
"49",101011,"DS_Dur_WS","CSCI","Threshold50",0.92,83.3333333333333,16.6666666666667,"High"
"50",101011,"DS_Dur_WS","CSCI","Threshold75",0.63,NA,100,"Low"
"51",101011,"DS_Dur_WS","CSCI","Threshold75",0.79,71.4285714285714,28.5714285714286,"High"
"52",101011,"DS_Dur_WS","CSCI","Threshold75",0.92,62.5,37.5,"High"
"53",101011,"Q99","ASCI","Threshold25",0.94,100,NA,"High"
"54",101011,"Q99","ASCI","Threshold50",0.94,100,NA,"High"
"55",101011,"Q99","ASCI","Threshold75",0.94,100,NA,"High"
"56",101011,"Q99","CSCI","Threshold25",0.92,100,NA,"High"
"57",101011,"Q99","CSCI","Threshold50",0.92,100,NA,"High"
"58",101011,"Q99","CSCI","Threshold75",0.92,100,NA,"High"
"59",101011,"SP_Dur","ASCI","Threshold25",0.75,25,75,"Low"
"60",101011,"SP_Dur","ASCI","Threshold25",0.86,20,80,"Low"
"61",101011,"SP_Dur","ASCI","Threshold25",0.94,16.6666666666667,83.3333333333333,"Low"
"62",101011,"SP_Dur","ASCI","Threshold50",0.75,16.6666666666667,83.3333333333333,"Low"
"63",101011,"SP_Dur","ASCI","Threshold50",0.86,12.5,87.5,"Low"
"64",101011,"SP_Dur","ASCI","Threshold50",0.94,20,80,"Low"
"65",101011,"SP_Dur","ASCI","Threshold75",0.75,20,80,"Low"
"66",101011,"SP_Dur","ASCI","Threshold75",0.86,20,80,"Low"
