"","biol.endpoints","hydro.endpoints","thresholds","comb_code","InterceptCoef","VariableCoef","Deviance","AIC","NullDeviance","InterceptPvalue","VariablePvalue","Delta","McFadden","Nagelkerke","n"
"1","CSCI","DS_Dur_WS",0.63,"CSCI_DS_Dur_WS_0.63",1.91807400997898,-0.0161833417618183,128.482675437415,132.482675437415,152.555385328605,4.11511735855863e-12,2.75667790494771e-06,"Positive",0.334763,0.489834,144
"2","OoverE","DS_Dur_WS",0.63,"OoverE_DS_Dur_WS_0.63",1.73062001823127,-0.00712403871442313,134.742848308102,138.742848308102,138.982338770979,3.99428124764824e-11,0.0339280160042234,"Positive",0.30235,0.451432,144
"3","MMI","DS_Dur_WS",0.63,"MMI_DS_Dur_WS_0.63",1.65236509026675,-0.0555434768430454,112.963165280692,116.963165280692,188.367785368396,3.65212649083405e-10,2.1601796796504e-05,"Positive",0.415118,0.57814,144
"4","CSCI","DS_Mag_50",0.63,"CSCI_DS_Mag_50_0.63",0.95309673478185,0.296973689641146,316.098204038543,320.098204038543,316.483260591711,6.56663441718161e-12,0.580897950900572,"Positive",-0.636642,-1.13122,269
"5","OoverE","DS_Mag_50",0.63,"OoverE_DS_Mag_50_0.63",1.19227805642516,0.247177571697608,290.199628088935,294.199628088935,290.444478068335,5.30168593466969e-16,0.654737015694502,"Positive",-0.502549,-0.84821,269
"6","MMI","DS_Mag_50",0.63,"MMI_DS_Mag_50_0.63",0.350574578794875,0.0408027385504148,364.646406636193,368.646406636193,364.65898709793,0.00532802926713177,0.911160669203975,"Positive",-0.888007,-1.74107,269
"7","CSCI","DS_Mag_90",0.63,"CSCI_DS_Mag_90_0.63",0.871626860521014,-0.0491563647551745,298.129176051842,302.129176051842,300.165953048789,8.25431286829853e-10,0.237008153375675,"Positive",-0.543605,-0.980957,245
"8","OoverE","DS_Mag_90",0.63,"OoverE_DS_Mag_90_0.63",1.14246378757489,-0.0518466653525864,272.676318164957,276.676318164957,274.993552937666,3.76602440255484e-14,0.203531243419352,"Positive",-0.411819,-0.703237,245
"9","MMI","DS_Mag_90",0.63,"MMI_DS_Mag_90_0.63",0.40694288368888,-0.774155441318715,322.31098669839,326.31098669839,336.660555920757,0.0046153695481271,0.0298398778791052,"Positive",-0.66881,-1.27292,245
"10","CSCI","DS_Tim",0.63,"CSCI_DS_Tim_0.63",1.95285566899227,-0.0530417608469354,136.75252006966,140.75252006966,153.41671932777,5.01987985998386e-15,0.000177365995445746,"Positive",0.291945,0.419631,165
"11","OoverE","DS_Tim",0.63,"OoverE_DS_Tim_0.63",1.76123745870026,-0.0356363423913408,148.423890598827,152.423890598827,156.465973309086,4.31349332389397e-14,0.00467123613265745,"Positive",0.231515,0.34413,165
"12","MMI","DS_Tim",0.63,"MMI_DS_Tim_0.63",1.66829051557391,-0.151892800943572,141.940499443741,145.940499443741,195.295606549651,8.79748197243918e-13,4.63031212830127e-06,"Positive",0.265083,0.386729,165
"13","CSCI","FA_Dur",0.63,"CSCI_FA_Dur_0.63",1.52428412074753,-0.590370317388358,25.2997664644314,29.2997664644314,32.0965720259778,0.00697782720927287,0.0706346160975647,"Positive",0.869007,0.999021,26
"14","OoverE","FA_Dur",0.63,"OoverE_FA_Dur_0.63",2.26013624293007,-0.749726264818481,18.5068581932489,22.5068581932489,28.0906154042208,0.00152788911247783,0.0539408546546459,"Positive",0.904178,0.999383,26
"15","MMI","FA_Dur",0.63,"MMI_FA_Dur_0.63",0.54387397742034,-0.366683813900795,32.8504998556715,36.8504998556715,35.8896551529778,0.241185562913946,0.15779621775213,"Positive",0.829912,0.998491,26
"16","CSCI","FA_Mag",0.63,"CSCI_FA_Mag_0.63",0.825783174097134,-0.00180623527003905,50.760460734463,54.760460734463,52.6441134762922,0.0212701171065658,0.197681305890796,"Positive",0.737181,0.977763,41
"17","OoverE","FA_Mag",0.63,"OoverE_FA_Mag_0.63",1.08980007770861,-0.00208084791178358,47.0941676733176,51.0941676733176,49.5719917356257,0.00404179789300914,0.140341413982294,"Positive",0.756163,0.980442,41
"18","MMI","FA_Mag",0.63,"MMI_FA_Mag_0.63",0.311579811285359,-0.0106798546800498,51.2199307222111,55.2199307222111,56.8136761432098,0.403838391494872,0.273790605295521,"Positive",0.734802,0.97741,41
"19","CSCI","FA_Tim",0.63,"CSCI_FA_Tim_0.63",2.70805020110221,-10.6370593554801,7.48133309590044,11.4813330959004,12.3151589426053,0.00874004702083533,0.997397638963157,"Positive",0.961264,0.999994,17
"20","OoverE","FA_Tim",0.63,"OoverE_FA_Tim_0.63",2.70805020110221,-10.6370593554801,7.48133309590044,11.4813330959004,12.3151589426053,0.00874004702083533,0.997397638963157,"Positive",0.961264,0.999994,17
"21","MMI","FA_Tim",0.63,"MMI_FA_Tim_0.63",1.94591014905531,-9.75598931770004,12.0566452072152,16.0566452072152,15.8439747366754,0.0100472999723729,0.996064829756733,"Positive",0.937575,0.999988,17
"22","CSCI","Q99",0.63,"CSCI_Q99_0.63",0.83150774414592,-0.00141196809095257,391.10243317361,395.10243317361,405.034836989455,2.25925607553261e-10,0.000676302688882706,"Positive",-1.02499,-1.9084,315
"23","OoverE","Q99",0.63,"OoverE_Q99_0.63",1.17522972576197,-0.00093371741374676,354.685377400834,358.685377400834,361.234886547195,7.61579977191779e-17,0.011063100388009,"Positive",-0.836433,-1.46185,315
"24","MMI","Q99",0.63,"MMI_Q99_0.63",0.362784479068826,-0.00771447104449484,382.670432183519,386.670432183519,436.425545898771,0.0063660181301526,0.000172754611303418,"Positive",-0.981329,-1.80037,315
"25","CSCI","SP_Dur",0.63,"CSCI_SP_Dur_0.63",2.09220552543918,-0.0427865064970612,123.022351577083,127.022351577083,138.003371086125,6.53330152108089e-15,0.000211017993515352,"Positive",0.363035,0.508009,158
"26","OoverE","SP_Dur",0.63,"OoverE_SP_Dur_0.63",1.93737518349363,-0.0382434278762093,132.128051815102,136.128051815102,144.503140993586,2.3169504704748e-14,0.000613735054264856,"Positive",0.315889,0.454055,158
"27","MMI","SP_Dur",0.63,"MMI_SP_Dur_0.63",1.76645476110503,-0.0609832330108646,140.3699769369,144.3699769369,167.108314710648,2.34398194225933e-13,2.29720082241642e-05,"Positive",0.273215,0.402465,158
"28","CSCI","SP_Mag",0.63,"CSCI_SP_Mag_0.63",0.707647362002877,-0.000975214202012782,354.831457630169,358.831457630169,361.157024197154,1.97516074701319e-07,0.0183878562888924,"Positive",-0.837189,-1.57896,277
"29","OoverE","SP_Mag",0.63,"OoverE_SP_Mag_0.63",1.07392667255398,-0.000629983645364098,320.841045379448,324.841045379448,323.542331647252,1.85454500263754e-13,0.0974475433360459,"Positive",-0.661199,-1.16661,277
"30","MMI","SP_Mag",0.63,"MMI_SP_Mag_0.63",0.178097497562435,-0.00426556144780623,353.300670827918,357.300670827918,382.959560796386,0.189561640283352,0.000761704585463857,"Positive",-0.829263,-1.55928,277
"31","CSCI","SP_ROC",0.63,"CSCI_SP_ROC_0.63",0.986044810598102,-7.00756137112446,251.896135485305,255.896135485305,253.934985419303,2.848164070747e-10,0.211320347466497,"Positive",-0.304227,-0.531522,214
"32","OoverE","SP_ROC",0.63,"OoverE_SP_ROC_0.63",1.38543147114777,-9.22797902576211,216.945912344321,220.945912344321,220.132344706025,1.52112692031729e-15,0.140608924917471,"Positive",-0.123267,-0.197956,214
"33","MMI","SP_ROC",0.63,"MMI_SP_ROC_0.63",0.436195409155063,-30.7848593890711,280.879878599496,284.879878599496,291.242165499856,0.00260113254998972,0.0189352411976172,"Positive",-0.454294,-0.852599,214
"34","CSCI","SP_Tim",0.63,"CSCI_SP_Tim_0.63",1.75793010507342,-0.060726108631602,281.790551988539,285.790551988539,347.993262427121,8.54195573277409e-23,5.56641591790315e-13,"Positive",-0.459009,-0.71698,307
"35","OoverE","SP_Tim",0.63,"OoverE_SP_Tim_0.63",1.69886459984078,-0.0321765046573004,294.411186824817,298.411186824817,314.319620884994,2.31869240634458e-22,7.50982644101056e-06,"Positive",-0.524355,-0.836945,307
"36","MMI","SP_Tim",0.63,"MMI_SP_Tim_0.63",1.32581746827313,-0.1216235017913,277.257265792037,281.257265792037,405.032857867308,5.7910305586467e-17,4.72976355375271e-11,"Positive",-0.435538,-0.675079,307
"37","CSCI","Wet_BFL_Dur",0.63,"CSCI_Wet_BFL_Dur_0.63",1.58157469200584,-0.0347065134304774,312.080775072957,316.080775072957,376.869629578827,1.33023111646834e-18,4.01874968324878e-12,"Positive",-0.615841,-1.01996,303
"38","OoverE","Wet_BFL_Dur",0.63,"OoverE_Wet_BFL_Dur_0.63",1.6358719352312,-0.0205196415647188,311.061351270815,315.061351270815,336.875768716619,1.37342708754779e-19,8.62165354814627e-07,"Positive",-0.610563,-1.0094,303
"39","MMI","Wet_BFL_Dur",0.63,"MMI_Wet_BFL_Dur_0.63",1.45909953628567,-0.0865844305513071,262.138757522836,266.138757522836,416.870017871275,1.9482789769955e-15,1.172284182741e-14,"Positive",-0.35726,-0.542573,303
"40","CSCI","Wet_BFL_Mag_10",0.63,"CSCI_Wet_BFL_Mag_10_0.63",1.31150753647378,-0.0665633116341432,204.140381532558,208.140381532558,204.156234941998,3.19212157314575e-13,0.898743175764993,"Positive",-0.056965,-0.0919235,197
"41","OoverE","Wet_BFL_Mag_10",0.63,"OoverE_Wet_BFL_Mag_10_0.63",1.39627522706371,0.0330687170156316,196.04096984142,200.04096984142,196.044430288134,4.13489581896423e-14,0.953374985335042,"Positive",-0.0150292,-0.023756,197
"42","MMI","Wet_BFL_Mag_10",0.63,"MMI_Wet_BFL_Mag_10_0.63",0.813757211651133,-1.23821171246287,243.669778464453,247.669778464453,249.852216473533,3.33256193738975e-07,0.0369539969543724,"Positive",-0.261634,-0.46797,197
"43","CSCI","Wet_BFL_Mag_50",0.63,"CSCI_Wet_BFL_Mag_50_0.63",2.00201352745571,-0.00276743763634796,152.178726536758,156.178726536758,152.543355072499,1.88409564817764e-20,0.511507365425528,"Positive",0.212074,0.295933,207
"44","OoverE","Wet_BFL_Mag_50",0.63,"OoverE_Wet_BFL_Mag_50_0.63",1.8688108552004,-0.00236030891814936,163.788510921173,167.788510921173,164.058009351061,9.77124128146507e-20,0.576837969601568,"Positive",0.151962,0.21791,207
"45","MMI","Wet_BFL_Mag_50",0.63,"MMI_Wet_BFL_Mag_50_0.63",1.03150991609945,-0.00288572180531537,239.122321200256,243.122321200256,239.679251699023,8.72638304166347e-11,0.451735517022628,"Positive",-0.238089,-0.410049,207
"46","CSCI","Wet_Tim",0.63,"CSCI_Wet_Tim_0.63",2.31258009149501,-0.155423476425525,99.2717474950847,103.271747495085,121.789611215272,3.41589919267996e-15,2.83173257728577e-05,"Positive",0.486007,0.641447,151
"47","OoverE","Wet_Tim",0.63,"OoverE_Wet_Tim_0.63",1.94562722842082,-0.0845359444205061,121.631245757009,125.631245757009,128.866029221944,2.83321598183486e-14,0.00546675664437189,"Positive",0.370237,0.522677,151
"48","MMI","Wet_Tim",0.63,"MMI_Wet_Tim_0.63",1.90620016939751,-0.447692322544858,112.77649753812,116.77649753812,155.980021578381,8.65045486251695e-14,0.0109153880190719,"Positive",0.416084,0.571825,151
"49","CSCI","DS_Dur_WS",0.79,"CSCI_DS_Dur_WS_0.79",1.14396626519193,-0.0476979316797301,135.801355762762,139.801355762762,196.252077954509,4.82965452789732e-07,0.000114262303147329,"Positive",0.29687,0.444772,144
"50","OoverE","DS_Dur_WS",0.79,"OoverE_DS_Dur_WS_0.79",1.1121600337473,-0.016055200672044,163.153327298403,167.153327298403,187.196510013501,3.20150206658671e-07,1.30061962624765e-05,"Positive",0.155251,0.254549,144
"51","MMI","DS_Dur_WS",0.79,"MMI_DS_Dur_WS_0.79",0.417666708741005,-0.239269075107769,137.744835003887,141.744835003887,194.906098293659,0.0472350156822557,0.0486305864596312,"Positive",0.286807,0.432415,144
"52","CSCI","DS_Mag_50",0.79,"CSCI_DS_Mag_50_0.79",0.0347091647789701,0.0402230457519049,372.807454079924,376.807454079924,372.820240986081,0.779377268268608,0.910119336169247,"Positive",-0.930262,-1.85483,269
