"","CombCode","Hydro_Metric","Biol","AlteredMean","AlteredMedian"
"1","0.63_Threshold25","DS_Dur_WS","CSCI",2.89023458810693,0
"2","0.63_Threshold25","Q99","CSCI",0.2,0
"3","0.63_Threshold25","SP_Tim","CSCI",22.5991481394067,14.2857142857143
"4","0.63_Threshold50","DS_Dur_WS","CSCI",10.4434351700309,3.57142857142857
"5","0.63_Threshold50","Q99","CSCI",0.266666666666667,0
"6","0.63_Threshold50","SP_Tim","CSCI",36.0177897348259,28.5714285714286
"7","0.63_Threshold75","DS_Dur_WS","CSCI",31.0765576466584,37.1428571428571
"8","0.63_Threshold75","Q99","CSCI",0.533333333333333,0
"9","0.63_Threshold75","SP_Tim","CSCI",40.2917150737738,28.5714285714286
"10","0.75_Threshold25","DS_Dur_WS","ASCI",7.30610760397994,0
"11","0.75_Threshold25","Q99","ASCI",0.2,0
"12","0.75_Threshold25","SP_Dur","ASCI",25.8696885204262,20.5882352941176
"13","0.75_Threshold50","DS_Dur_WS","ASCI",19.7033535830848,14.2857142857143
"14","0.75_Threshold50","Q99","ASCI",0.266666666666667,0
"15","0.75_Threshold50","SP_Dur","ASCI",45.947956873621,42
"16","0.75_Threshold75","DS_Dur_WS","ASCI",44.2548088343161,48.5714285714286
"17","0.75_Threshold75","Q99","ASCI",2.66666666666667,0
"18","0.75_Threshold75","SP_Dur","ASCI",67.6893581619647,72.4137931034483
"19","0.79_Threshold25","DS_Dur_WS","CSCI",23.8032587420045,19.1489361702128
"20","0.79_Threshold25","Q99","CSCI",1.4,0
"21","0.79_Threshold25","SP_Tim","CSCI",39.1994018625356,28.5714285714286
"22","0.79_Threshold50","DS_Dur_WS","CSCI",39.7370457276952,36.6666666666667
"23","0.79_Threshold50","Q99","CSCI",4.2,0
"24","0.79_Threshold50","SP_Tim","CSCI",41.1731965552553,34.6153846153846
"25","0.79_Threshold75","DS_Dur_WS","CSCI",62.0059533514082,63.3333333333333
"26","0.79_Threshold75","Q99","CSCI",12.1333333333333,11.6666666666667
"27","0.79_Threshold75","SP_Tim","CSCI",45.0364273984861,36.6666666666667
"28","0.86_Threshold25","DS_Dur_WS","ASCI",9.4229600187047,4.25531914893617
"29","0.86_Threshold25","Q99","ASCI",0.266666666666667,0
"30","0.86_Threshold25","SP_Dur","ASCI",37.7420131859659,31.25
"31","0.86_Threshold50","DS_Dur_WS","ASCI",26.0357606186274,23.3333333333333
"32","0.86_Threshold50","Q99","ASCI",1.46666666666667,0
"33","0.86_Threshold50","SP_Dur","ASCI",58.5997971328256,61.7021276595745
"34","0.86_Threshold75","DS_Dur_WS","ASCI",53.013418906588,51.4285714285714
"35","0.86_Threshold75","Q99","ASCI",6.73333333333333,0
"36","0.86_Threshold75","SP_Dur","ASCI",74.045847620945,82.9787234042553
"37","0.92_Threshold25","DS_Dur_WS","CSCI",50.8760050344959,54.2857142857143
"38","0.92_Threshold25","Q99","CSCI",47.1333333333333,50
"39","0.92_Threshold25","SP_Tim","CSCI",40.9548729685106,34.6153846153846
"40","0.92_Threshold50","DS_Dur_WS","CSCI",61.7931014940896,63.6363636363636
"41","0.92_Threshold50","Q99","CSCI",61.4666666666667,63.3333333333333
"42","0.92_Threshold50","SP_Tim","CSCI",44.4366715987303,36.6666666666667
"43","0.92_Threshold75","DS_Dur_WS","CSCI",74.7281699091955,80
"44","0.92_Threshold75","Q99","CSCI",76.2666666666667,80
"45","0.92_Threshold75","SP_Tim","CSCI",45.7018782596817,41.6666666666667
"46","0.94_Threshold25","DS_Dur_WS","ASCI",33.0907944612312,28.9473684210526
"47","0.94_Threshold25","Q99","ASCI",22.8,21.6666666666667
"48","0.94_Threshold25","SP_Dur","ASCI",41.8964866426348,34.375
"49","0.94_Threshold50","DS_Dur_WS","ASCI",49.8241213349737,51.4285714285714
"50","0.94_Threshold50","Q99","ASCI",35.8,31.6666666666667
"51","0.94_Threshold50","SP_Dur","ASCI",64.1217610046392,72.3404255319149
"52","0.94_Threshold75","DS_Dur_WS","ASCI",65.2526552972604,71.4285714285714
"53","0.94_Threshold75","Q99","ASCI",57.0666666666667,56.6666666666667
"54","0.94_Threshold75","SP_Dur","ASCI",77.2917883370167,82.9787234042553
