site,Hydro_Metric,Biol,Threshold,Bio_threshold,Unaltered,Altered
201040,DS_Dur_WS,CSCI,Threshold75,0.63,83.33333333,16.66666667
201040,DS_Dur_WS,CSCI,Threshold75,0.79,41.66666667,58.33333333
201040,DS_Dur_WS,CSCI,Threshold75,0.92,33.33333333,66.66666667
201040,Q99,ASCI,Threshold25,0.75,100,0
201040,Q99,ASCI,Threshold25,0.86,100,0
201040,Q99,ASCI,Threshold25,0.94,16,84
201040,Q99,ASCI,Threshold50,0.75,100,0
201040,Q99,ASCI,Threshold50,0.86,100,0
201040,Q99,ASCI,Threshold50,0.94,12,88
201040,Q99,ASCI,Threshold75,0.75,96,4
201040,Q99,ASCI,Threshold75,0.86,60,40
201040,Q99,ASCI,Threshold75,0.94,4,96
201040,Q99,CSCI,Threshold25,0.63,100,0
201040,Q99,CSCI,Threshold25,0.79,100,0
201040,Q99,CSCI,Threshold25,0.92,8,92
201040,Q99,CSCI,Threshold50,0.63,100,0
201040,Q99,CSCI,Threshold50,0.79,80,20
201040,Q99,CSCI,Threshold50,0.92,4,96
201040,Q99,CSCI,Threshold75,0.63,100,0
201040,Q99,CSCI,Threshold75,0.79,48,52
201040,Q99,CSCI,Threshold75,0.92,0,100
201040,SP_Dur,ASCI,Threshold25,0.75,88,12
201040,SP_Dur,ASCI,Threshold25,0.86,64,36
201040,SP_Dur,ASCI,Threshold25,0.94,64,36
201040,SP_Dur,ASCI,Threshold50,0.75,60,40
201040,SP_Dur,ASCI,Threshold50,0.86,40,60
201040,SP_Dur,ASCI,Threshold50,0.94,32,68
201040,SP_Dur,ASCI,Threshold75,0.75,28,72
201040,SP_Dur,ASCI,Threshold75,0.86,24,76
201040,SP_Dur,ASCI,Threshold75,0.94,20,80
201040,SP_Tim,CSCI,Threshold25,0.63,88,12
201040,SP_Tim,CSCI,Threshold25,0.79,64,36
201040,SP_Tim,CSCI,Threshold25,0.92,60,40
201040,SP_Tim,CSCI,Threshold50,0.63,64,36
201040,SP_Tim,CSCI,Threshold50,0.79,60,40
201040,SP_Tim,CSCI,Threshold50,0.92,60,40
201040,SP_Tim,CSCI,Threshold75,0.63,60,40
201040,SP_Tim,CSCI,Threshold75,0.79,52,48
201040,SP_Tim,CSCI,Threshold75,0.92,48,52
201041,DS_Dur_WS,ASCI,Threshold25,0.75,100,0
201041,DS_Dur_WS,ASCI,Threshold25,0.86,100,0
201041,DS_Dur_WS,ASCI,Threshold25,0.94,75,25
201041,DS_Dur_WS,ASCI,Threshold50,0.75,91.66666667,8.333333333
201041,DS_Dur_WS,ASCI,Threshold50,0.86,83.33333333,16.66666667
201041,DS_Dur_WS,ASCI,Threshold50,0.94,66.66666667,33.33333333
201041,DS_Dur_WS,ASCI,Threshold75,0.75,50,50
201041,DS_Dur_WS,ASCI,Threshold75,0.86,50,50
201041,DS_Dur_WS,ASCI,Threshold75,0.94,41.66666667,58.33333333
201041,DS_Dur_WS,CSCI,Threshold25,0.63,100,0
201041,DS_Dur_WS,CSCI,Threshold25,0.79,83.33333333,16.66666667
201041,DS_Dur_WS,CSCI,Threshold25,0.92,66.66666667,33.33333333
201041,DS_Dur_WS,CSCI,Threshold50,0.63,100,0
201041,DS_Dur_WS,CSCI,Threshold50,0.79,58.33333333,41.66666667
201041,DS_Dur_WS,CSCI,Threshold50,0.92,33.33333333,66.66666667
201041,DS_Dur_WS,CSCI,Threshold75,0.63,66.66666667,33.33333333
201041,DS_Dur_WS,CSCI,Threshold75,0.79,41.66666667,58.33333333
201041,DS_Dur_WS,CSCI,Threshold75,0.92,25,75
201041,Q99,ASCI,Threshold25,0.75,100,0
201041,Q99,ASCI,Threshold25,0.86,100,0
201041,Q99,ASCI,Threshold25,0.94,20,80
201041,Q99,ASCI,Threshold50,0.75,100,0
201041,Q99,ASCI,Threshold50,0.86,100,0
201041,Q99,ASCI,Threshold50,0.94,12,88
201041,Q99,ASCI,Threshold75,0.75,96,4
201041,Q99,ASCI,Threshold75,0.86,64,36
201041,Q99,ASCI,Threshold75,0.94,8,92
201041,Q99,CSCI,Threshold25,0.63,100,0
201041,Q99,CSCI,Threshold25,0.79,100,0
201041,Q99,CSCI,Threshold25,0.92,8,92
201041,Q99,CSCI,Threshold50,0.63,100,0
201041,Q99,CSCI,Threshold50,0.79,84,16
201041,Q99,CSCI,Threshold50,0.92,4,96
201041,Q99,CSCI,Threshold75,0.63,100,0
201041,Q99,CSCI,Threshold75,0.79,48,52
201041,Q99,CSCI,Threshold75,0.92,0,100
201041,SP_Dur,ASCI,Threshold25,0.75,80,20
201041,SP_Dur,ASCI,Threshold25,0.86,64,36
201041,SP_Dur,ASCI,Threshold25,0.94,64,36
201041,SP_Dur,ASCI,Threshold50,0.75,60,40
201041,SP_Dur,ASCI,Threshold50,0.86,44,56
201041,SP_Dur,ASCI,Threshold50,0.94,36,64
201041,SP_Dur,ASCI,Threshold75,0.75,28,72
201041,SP_Dur,ASCI,Threshold75,0.86,16,84
201041,SP_Dur,ASCI,Threshold75,0.94,12,88
201041,SP_Tim,CSCI,Threshold25,0.63,92,8
201041,SP_Tim,CSCI,Threshold25,0.79,64,36
201041,SP_Tim,CSCI,Threshold25,0.92,60,40
201041,SP_Tim,CSCI,Threshold50,0.63,68,32
201041,SP_Tim,CSCI,Threshold50,0.79,60,40
201041,SP_Tim,CSCI,Threshold50,0.92,56,44
201041,SP_Tim,CSCI,Threshold75,0.63,60,40
201041,SP_Tim,CSCI,Threshold75,0.79,52,48
201041,SP_Tim,CSCI,Threshold75,0.92,48,52
201050,DS_Dur_WS,ASCI,Threshold25,0.75,72.72727273,27.27272727
201050,DS_Dur_WS,ASCI,Threshold25,0.86,72.72727273,27.27272727
201050,DS_Dur_WS,ASCI,Threshold25,0.94,36.36363636,63.63636364
201050,DS_Dur_WS,ASCI,Threshold50,0.75,72.72727273,27.27272727
201050,DS_Dur_WS,ASCI,Threshold50,0.86,63.63636364,36.36363636
201050,DS_Dur_WS,ASCI,Threshold50,0.94,27.27272727,72.72727273
201050,DS_Dur_WS,ASCI,Threshold75,0.75,27.27272727,72.72727273
201050,DS_Dur_WS,ASCI,Threshold75,0.86,18.18181818,81.81818182
201050,DS_Dur_WS,ASCI,Threshold75,0.94,18.18181818,81.81818182
201050,DS_Dur_WS,CSCI,Threshold25,0.63,90.90909091,9.090909091
201050,DS_Dur_WS,CSCI,Threshold25,0.79,63.63636364,36.36363636
201050,DS_Dur_WS,CSCI,Threshold25,0.92,27.27272727,72.72727273
201050,DS_Dur_WS,CSCI,Threshold50,0.63,72.72727273,27.27272727
201050,DS_Dur_WS,CSCI,Threshold50,0.79,27.27272727,72.72727273
201050,DS_Dur_WS,CSCI,Threshold50,0.92,18.18181818,81.81818182
201050,DS_Dur_WS,CSCI,Threshold75,0.63,63.63636364,36.36363636
201050,DS_Dur_WS,CSCI,Threshold75,0.79,18.18181818,81.81818182
201050,DS_Dur_WS,CSCI,Threshold75,0.92,9.090909091,90.90909091
201050,Q99,ASCI,Threshold25,0.75,100,0
201050,Q99,ASCI,Threshold25,0.86,100,0
201050,Q99,ASCI,Threshold25,0.94,80,20
201050,Q99,ASCI,Threshold50,0.75,100,0
201050,Q99,ASCI,Threshold50,0.86,100,0
201050,Q99,ASCI,Threshold50,0.94,64,36
201050,Q99,ASCI,Threshold75,0.75,100,0
201050,Q99,ASCI,Threshold75,0.86,100,0
201050,Q99,ASCI,Threshold75,0.94,20,80
201050,Q99,CSCI,Threshold25,0.63,100,0
201050,Q99,CSCI,Threshold25,0.79,100,0
201050,Q99,CSCI,Threshold25,0.92,40,60
201050,Q99,CSCI,Threshold50,0.63,100,0
201050,Q99,CSCI,Threshold50,0.79,100,0
201050,Q99,CSCI,Threshold50,0.92,20,80
201050,Q99,CSCI,Threshold75,0.63,100,0
201050,Q99,CSCI,Threshold75,0.79,100,0
201050,Q99,CSCI,Threshold75,0.92,12,88
201050,SP_Dur,ASCI,Threshold25,0.75,78.26086957,21.73913043
201050,SP_Dur,ASCI,Threshold25,0.86,65.2173913,34.7826087
201050,SP_Dur,ASCI,Threshold25,0.94,56.52173913,43.47826087
201050,SP_Dur,ASCI,Threshold50,0.75,47.82608696,52.17391304
201050,SP_Dur,ASCI,Threshold50,0.86,39.13043478,60.86956522
201050,SP_Dur,ASCI,Threshold50,0.94,26.08695652,73.91304348
201050,SP_Dur,ASCI,Threshold75,0.75,26.08695652,73.91304348
201050,SP_Dur,ASCI,Threshold75,0.86,21.73913043,78.26086957
201050,SP_Dur,ASCI,Threshold75,0.94,13.04347826,86.95652174
201050,SP_Tim,CSCI,Threshold25,0.63,86.95652174,13.04347826
201050,SP_Tim,CSCI,Threshold25,0.79,78.26086957,21.73913043
201050,SP_Tim,CSCI,Threshold25,0.92,73.91304348,26.08695652
201050,SP_Tim,CSCI,Threshold50,0.63,78.26086957,21.73913043
201050,SP_Tim,CSCI,Threshold50,0.79,73.91304348,26.08695652
201050,SP_Tim,CSCI,Threshold50,0.92,69.56521739,30.43478261
201050,SP_Tim,CSCI,Threshold75,0.63,78.26086957,21.73913043
201050,SP_Tim,CSCI,Threshold75,0.79,65.2173913,34.7826087
201050,SP_Tim,CSCI,Threshold75,0.92,65.2173913,34.7826087
201060,DS_Dur_WS,ASCI,Threshold25,0.75,94.44444444,5.555555556
201060,DS_Dur_WS,ASCI,Threshold25,0.86,94.44444444,5.555555556
201060,DS_Dur_WS,ASCI,Threshold25,0.94,72.22222222,27.77777778
201060,DS_Dur_WS,ASCI,Threshold50,0.75,83.33333333,16.66666667
201060,DS_Dur_WS,ASCI,Threshold50,0.86,83.33333333,16.66666667
201060,DS_Dur_WS,ASCI,Threshold50,0.94,50,50
201060,DS_Dur_WS,ASCI,Threshold75,0.75,61.11111111,38.88888889
201060,DS_Dur_WS,ASCI,Threshold75,0.86,44.44444444,55.55555556
201060,DS_Dur_WS,ASCI,Threshold75,0.94,27.77777778,72.22222222
201060,DS_Dur_WS,CSCI,Threshold25,0.63,100,0
201060,DS_Dur_WS,CSCI,Threshold25,0.79,88.88888889,11.11111111
201060,DS_Dur_WS,CSCI,Threshold25,0.92,50,50
201060,DS_Dur_WS,CSCI,Threshold50,0.63,88.88888889,11.11111111
201060,DS_Dur_WS,CSCI,Threshold50,0.79,55.55555556,44.44444444
201060,DS_Dur_WS,CSCI,Threshold50,0.92,33.33333333,66.66666667
201060,DS_Dur_WS,CSCI,Threshold75,0.63,66.66666667,33.33333333
201060,DS_Dur_WS,CSCI,Threshold75,0.79,33.33333333,66.66666667
201060,DS_Dur_WS,CSCI,Threshold75,0.92,27.77777778,72.22222222
201060,Q99,ASCI,Threshold25,0.75,100,0
201060,Q99,ASCI,Threshold25,0.86,100,0
201060,Q99,ASCI,Threshold25,0.94,40,60
201060,Q99,ASCI,Threshold50,0.75,100,0
201060,Q99,ASCI,Threshold50,0.86,100,0
201060,Q99,ASCI,Threshold50,0.94,16,84
201060,Q99,ASCI,Threshold75,0.75,100,0
201060,Q99,ASCI,Threshold75,0.86,88,12
201060,Q99,ASCI,Threshold75,0.94,8,92
201060,Q99,CSCI,Threshold25,0.63,100,0
201060,Q99,CSCI,Threshold25,0.79,100,0
201060,Q99,CSCI,Threshold25,0.92,12,88
201060,Q99,CSCI,Threshold50,0.63,100,0
201060,Q99,CSCI,Threshold50,0.79,96,4
201060,Q99,CSCI,Threshold50,0.92,8,92
201060,Q99,CSCI,Threshold75,0.63,100,0
201060,Q99,CSCI,Threshold75,0.79,60,40
201060,Q99,CSCI,Threshold75,0.92,0,100
201060,SP_Dur,ASCI,Threshold25,0.75,78.26086957,21.73913043
201060,SP_Dur,ASCI,Threshold25,0.86,69.56521739,30.43478261
201060,SP_Dur,ASCI,Threshold25,0.94,65.2173913,34.7826087
201060,SP_Dur,ASCI,Threshold50,0.75,52.17391304,47.82608696
201060,SP_Dur,ASCI,Threshold50,0.86,39.13043478,60.86956522
201060,SP_Dur,ASCI,Threshold50,0.94,26.08695652,73.91304348
201060,SP_Dur,ASCI,Threshold75,0.75,26.08695652,73.91304348
201060,SP_Dur,ASCI,Threshold75,0.86,21.73913043,78.26086957
201060,SP_Dur,ASCI,Threshold75,0.94,17.39130435,82.60869565
201060,SP_Tim,CSCI,Threshold25,0.63,95.65217391,4.347826087
201060,SP_Tim,CSCI,Threshold25,0.79,60.86956522,39.13043478
201060,SP_Tim,CSCI,Threshold25,0.92,60.86956522,39.13043478
201060,SP_Tim,CSCI,Threshold50,0.63,73.91304348,26.08695652
201060,SP_Tim,CSCI,Threshold50,0.79,60.86956522,39.13043478
201060,SP_Tim,CSCI,Threshold50,0.92,56.52173913,43.47826087
201060,SP_Tim,CSCI,Threshold75,0.63,60.86956522,39.13043478
201060,SP_Tim,CSCI,Threshold75,0.79,56.52173913,43.47826087
201060,SP_Tim,CSCI,Threshold75,0.92,52.17391304,47.82608696
201061,DS_Dur_WS,ASCI,Threshold25,0.75,100,0
201061,DS_Dur_WS,ASCI,Threshold25,0.86,100,0
201061,DS_Dur_WS,ASCI,Threshold25,0.94,50,50
201061,DS_Dur_WS,ASCI,Threshold50,0.75,50,50
201061,DS_Dur_WS,ASCI,Threshold50,0.86,50,50
201061,DS_Dur_WS,ASCI,Threshold50,0.94,50,50
201061,DS_Dur_WS,ASCI,Threshold75,0.75,50,50
201061,DS_Dur_WS,ASCI,Threshold75,0.86,50,50
201061,DS_Dur_WS,ASCI,Threshold75,0.94,50,50
201061,DS_Dur_WS,CSCI,Threshold25,0.63,100,0
201061,DS_Dur_WS,CSCI,Threshold25,0.79,50,50
201061,DS_Dur_WS,CSCI,Threshold25,0.92,50,50
201061,DS_Dur_WS,CSCI,Threshold50,0.63,100,0
201061,DS_Dur_WS,CSCI,Threshold50,0.79,50,50
201061,DS_Dur_WS,CSCI,Threshold50,0.92,50,50
201061,DS_Dur_WS,CSCI,Threshold75,0.63,50,50
201061,DS_Dur_WS,CSCI,Threshold75,0.79,50,50
201061,DS_Dur_WS,CSCI,Threshold75,0.92,0,100
201061,Q99,ASCI,Threshold25,0.75,100,0
201061,Q99,ASCI,Threshold25,0.86,100,0
201061,Q99,ASCI,Threshold25,0.94,100,0
201061,Q99,ASCI,Threshold50,0.75,100,0
201061,Q99,ASCI,Threshold50,0.86,100,0
201061,Q99,ASCI,Threshold50,0.94,60,40
201061,Q99,ASCI,Threshold75,0.75,100,0
201061,Q99,ASCI,Threshold75,0.86,100,0
201061,Q99,ASCI,Threshold75,0.94,40,60
201061,Q99,CSCI,Threshold25,0.63,100,0
201061,Q99,CSCI,Threshold25,0.79,100,0
201061,Q99,CSCI,Threshold25,0.92,48,52
201061,Q99,CSCI,Threshold50,0.63,100,0
201061,Q99,CSCI,Threshold50,0.79,100,0
201061,Q99,CSCI,Threshold50,0.92,32,68
201061,Q99,CSCI,Threshold75,0.63,100,0
201061,Q99,CSCI,Threshold75,0.79,100,0
201061,Q99,CSCI,Threshold75,0.92,12,88
201061,SP_Dur,ASCI,Threshold25,0.75,66.66666667,33.33333333
201061,SP_Dur,ASCI,Threshold25,0.86,55.55555556,44.44444444
201061,SP_Dur,ASCI,Threshold25,0.94,55.55555556,44.44444444
201061,SP_Dur,ASCI,Threshold50,0.75,55.55555556,44.44444444
201061,SP_Dur,ASCI,Threshold50,0.86,33.33333333,66.66666667
201061,SP_Dur,ASCI,Threshold50,0.94,33.33333333,66.66666667
201061,SP_Dur,ASCI,Threshold75,0.75,33.33333333,66.66666667
201061,SP_Dur,ASCI,Threshold75,0.86,11.11111111,88.88888889
201061,SP_Dur,ASCI,Threshold75,0.94,11.11111111,88.88888889
201061,SP_Tim,CSCI,Threshold25,0.63,100,0
201061,SP_Tim,CSCI,Threshold25,0.79,77.77777778,22.22222222
201061,SP_Tim,CSCI,Threshold25,0.92,77.77777778,22.22222222
201061,SP_Tim,CSCI,Threshold50,0.63,100,0
201061,SP_Tim,CSCI,Threshold50,0.79,77.77777778,22.22222222
201061,SP_Tim,CSCI,Threshold50,0.92,66.66666667,33.33333333
201061,SP_Tim,CSCI,Threshold75,0.63,77.77777778,22.22222222
201061,SP_Tim,CSCI,Threshold75,0.79,66.66666667,33.33333333
201061,SP_Tim,CSCI,Threshold75,0.92,66.66666667,33.33333333
201062,DS_Dur_WS,ASCI,Threshold25,0.75,94.44444444,5.555555556
201062,DS_Dur_WS,ASCI,Threshold25,0.86,94.44444444,5.555555556
201062,DS_Dur_WS,ASCI,Threshold25,0.94,77.77777778,22.22222222
201062,DS_Dur_WS,ASCI,Threshold50,0.75,88.88888889,11.11111111
201062,DS_Dur_WS,ASCI,Threshold50,0.86,88.88888889,11.11111111
201062,DS_Dur_WS,ASCI,Threshold50,0.94,61.11111111,38.88888889
201062,DS_Dur_WS,ASCI,Threshold75,0.75,55.55555556,44.44444444
201062,DS_Dur_WS,ASCI,Threshold75,0.86,44.44444444,55.55555556
201062,DS_Dur_WS,ASCI,Threshold75,0.94,33.33333333,66.66666667
201062,DS_Dur_WS,CSCI,Threshold25,0.63,100,0
201062,DS_Dur_WS,CSCI,Threshold25,0.79,88.88888889,11.11111111
201062,DS_Dur_WS,CSCI,Threshold25,0.92,61.11111111,38.88888889
201062,DS_Dur_WS,CSCI,Threshold50,0.63,94.44444444,5.555555556
201062,DS_Dur_WS,CSCI,Threshold50,0.79,66.66666667,33.33333333
201062,DS_Dur_WS,CSCI,Threshold50,0.92,38.88888889,61.11111111
201062,DS_Dur_WS,CSCI,Threshold75,0.63,66.66666667,33.33333333
201062,DS_Dur_WS,CSCI,Threshold75,0.79,38.88888889,61.11111111
201062,DS_Dur_WS,CSCI,Threshold75,0.92,22.22222222,77.77777778
201062,Q99,ASCI,Threshold25,0.75,100,0
201062,Q99,ASCI,Threshold25,0.86,100,0
201062,Q99,ASCI,Threshold25,0.94,60,40
201062,Q99,ASCI,Threshold50,0.75,100,0
201062,Q99,ASCI,Threshold50,0.86,100,0
201062,Q99,ASCI,Threshold50,0.94,32,68
201062,Q99,ASCI,Threshold75,0.75,100,0
201062,Q99,ASCI,Threshold75,0.86,96,4
201062,Q99,ASCI,Threshold75,0.94,12,88
201062,Q99,CSCI,Threshold25,0.63,100,0
201062,Q99,CSCI,Threshold25,0.79,100,0
201062,Q99,CSCI,Threshold25,0.92,16,84
201062,Q99,CSCI,Threshold50,0.63,100,0
201062,Q99,CSCI,Threshold50,0.79,100,0
201062,Q99,CSCI,Threshold50,0.92,12,88
201062,Q99,CSCI,Threshold75,0.63,100,0
201062,Q99,CSCI,Threshold75,0.79,84,16
201062,Q99,CSCI,Threshold75,0.92,4,96
201062,SP_Dur,ASCI,Threshold25,0.75,77.27272727,22.72727273
201062,SP_Dur,ASCI,Threshold25,0.86,72.72727273,27.27272727
201062,SP_Dur,ASCI,Threshold25,0.94,63.63636364,36.36363636
201062,SP_Dur,ASCI,Threshold50,0.75,59.09090909,40.90909091
201062,SP_Dur,ASCI,Threshold50,0.86,36.36363636,63.63636364
201062,SP_Dur,ASCI,Threshold50,0.94,31.81818182,68.18181818
201062,SP_Dur,ASCI,Threshold75,0.75,27.27272727,72.72727273
201062,SP_Dur,ASCI,Threshold75,0.86,27.27272727,72.72727273
201062,SP_Dur,ASCI,Threshold75,0.94,27.27272727,72.72727273
201062,SP_Tim,CSCI,Threshold25,0.63,100,0
201062,SP_Tim,CSCI,Threshold25,0.79,59.09090909,40.90909091
201062,SP_Tim,CSCI,Threshold25,0.92,59.09090909,40.90909091
201062,SP_Tim,CSCI,Threshold50,0.63,68.18181818,31.81818182
201062,SP_Tim,CSCI,Threshold50,0.79,54.54545455,45.45454545
201062,SP_Tim,CSCI,Threshold50,0.92,50,50
201062,SP_Tim,CSCI,Threshold75,0.63,54.54545455,45.45454545
201062,SP_Tim,CSCI,Threshold75,0.79,50,50
201062,SP_Tim,CSCI,Threshold75,0.92,50,50
201070,DS_Dur_WS,ASCI,Threshold25,0.75,100,0
201070,DS_Dur_WS,ASCI,Threshold25,0.86,100,0
201070,DS_Dur_WS,ASCI,Threshold25,0.94,70,30
201070,DS_Dur_WS,ASCI,Threshold50,0.75,90,10
201070,DS_Dur_WS,ASCI,Threshold50,0.86,70,30
201070,DS_Dur_WS,ASCI,Threshold50,0.94,20,80
201070,DS_Dur_WS,ASCI,Threshold75,0.75,50,50
201070,DS_Dur_WS,ASCI,Threshold75,0.86,50,50
201070,DS_Dur_WS,ASCI,Threshold75,0.94,10,90
201070,DS_Dur_WS,CSCI,Threshold25,0.63,100,0
201070,DS_Dur_WS,CSCI,Threshold25,0.79,80,20
201070,DS_Dur_WS,CSCI,Threshold25,0.92,30,70
201070,DS_Dur_WS,CSCI,Threshold50,0.63,100,0
201070,DS_Dur_WS,CSCI,Threshold50,0.79,60,40
201070,DS_Dur_WS,CSCI,Threshold50,0.92,20,80
201070,DS_Dur_WS,CSCI,Threshold75,0.63,60,40
201070,DS_Dur_WS,CSCI,Threshold75,0.79,20,80
201070,DS_Dur_WS,CSCI,Threshold75,0.92,0,100
201070,Q99,ASCI,Threshold25,0.75,100,0
201070,Q99,ASCI,Threshold25,0.86,100,0
201070,Q99,ASCI,Threshold25,0.94,12,88
201070,Q99,ASCI,Threshold50,0.75,100,0
201070,Q99,ASCI,Threshold50,0.86,80,20
201070,Q99,ASCI,Threshold50,0.94,8,92
201070,Q99,ASCI,Threshold75,0.75,68,32
201070,Q99,ASCI,Threshold75,0.86,52,48
201070,Q99,ASCI,Threshold75,0.94,0,100
201070,Q99,CSCI,Threshold25,0.63,100,0
201070,Q99,CSCI,Threshold25,0.79,80,20
201070,Q99,CSCI,Threshold25,0.92,4,96
201070,Q99,CSCI,Threshold50,0.63,100,0
201070,Q99,CSCI,Threshold50,0.79,60,40
201070,Q99,CSCI,Threshold50,0.92,0,100
201070,Q99,CSCI,Threshold75,0.63,100,0
201070,Q99,CSCI,Threshold75,0.79,24,76
201070,Q99,CSCI,Threshold75,0.92,0,100
201070,SP_Dur,ASCI,Threshold25,0.75,96,4
201070,SP_Dur,ASCI,Threshold25,0.86,80,20
201070,SP_Dur,ASCI,Threshold25,0.94,72,28
201070,SP_Dur,ASCI,Threshold50,0.75,68,32
201070,SP_Dur,ASCI,Threshold50,0.86,56,44
201070,SP_Dur,ASCI,Threshold50,0.94,44,56
201070,SP_Dur,ASCI,Threshold75,0.75,40,60
201070,SP_Dur,ASCI,Threshold75,0.86,16,84
201070,SP_Dur,ASCI,Threshold75,0.94,8,92
201070,SP_Tim,CSCI,Threshold25,0.63,80,20
201070,SP_Tim,CSCI,Threshold25,0.79,60,40
201070,SP_Tim,CSCI,Threshold25,0.92,60,40
201070,SP_Tim,CSCI,Threshold50,0.63,60,40
201070,SP_Tim,CSCI,Threshold50,0.79,60,40
201070,SP_Tim,CSCI,Threshold50,0.92,52,48
201070,SP_Tim,CSCI,Threshold75,0.63,60,40
201070,SP_Tim,CSCI,Threshold75,0.79,52,48
201070,SP_Tim,CSCI,Threshold75,0.92,52,48
201080,DS_Dur_WS,ASCI,Threshold25,0.75,100,0
201080,DS_Dur_WS,ASCI,Threshold25,0.86,100,0
201080,DS_Dur_WS,ASCI,Threshold25,0.94,58.33333333,41.66666667
201080,DS_Dur_WS,ASCI,Threshold50,0.75,83.33333333,16.66666667
201080,DS_Dur_WS,ASCI,Threshold50,0.86,50,50
201080,DS_Dur_WS,ASCI,Threshold50,0.94,33.33333333,66.66666667
201080,DS_Dur_WS,ASCI,Threshold75,0.75,33.33333333,66.66666667
201080,DS_Dur_WS,ASCI,Threshold75,0.86,33.33333333,66.66666667
201080,DS_Dur_WS,ASCI,Threshold75,0.94,0,100
201080,DS_Dur_WS,CSCI,Threshold25,0.63,100,0
201080,DS_Dur_WS,CSCI,Threshold25,0.79,58.33333333,41.66666667
201080,DS_Dur_WS,CSCI,Threshold25,0.92,25,75
201080,DS_Dur_WS,CSCI,Threshold50,0.63,100,0
201080,DS_Dur_WS,CSCI,Threshold50,0.79,50,50
201080,DS_Dur_WS,CSCI,Threshold50,0.92,16.66666667,83.33333333
201080,DS_Dur_WS,CSCI,Threshold75,0.63,66.66666667,33.33333333
201080,DS_Dur_WS,CSCI,Threshold75,0.79,16.66666667,83.33333333
201080,DS_Dur_WS,CSCI,Threshold75,0.92,0,100
201080,Q99,ASCI,Threshold25,0.75,100,0
201080,Q99,ASCI,Threshold25,0.86,100,0
201080,Q99,ASCI,Threshold25,0.94,12,88
201080,Q99,ASCI,Threshold50,0.75,100,0
201080,Q99,ASCI,Threshold50,0.86,84,16
201080,Q99,ASCI,Threshold50,0.94,8,92
201080,Q99,ASCI,Threshold75,0.75,68,32
201080,Q99,ASCI,Threshold75,0.86,52,48
201080,Q99,ASCI,Threshold75,0.94,0,100
201080,Q99,CSCI,Threshold25,0.63,100,0
201080,Q99,CSCI,Threshold25,0.79,84,16
201080,Q99,CSCI,Threshold25,0.92,4,96
201080,Q99,CSCI,Threshold50,0.63,100,0
201080,Q99,CSCI,Threshold50,0.79,56,44
201080,Q99,CSCI,Threshold50,0.92,0,100
201080,Q99,CSCI,Threshold75,0.63,96,4
201080,Q99,CSCI,Threshold75,0.79,24,76
201080,Q99,CSCI,Threshold75,0.92,0,100
201080,SP_Dur,ASCI,Threshold25,0.75,92,8
201080,SP_Dur,ASCI,Threshold25,0.86,76,24
201080,SP_Dur,ASCI,Threshold25,0.94,76,24
201080,SP_Dur,ASCI,Threshold50,0.75,68,32
201080,SP_Dur,ASCI,Threshold50,0.86,52,48
201080,SP_Dur,ASCI,Threshold50,0.94,40,60
201080,SP_Dur,ASCI,Threshold75,0.75,40,60
201080,SP_Dur,ASCI,Threshold75,0.86,16,84
201080,SP_Dur,ASCI,Threshold75,0.94,12,88
201080,SP_Tim,CSCI,Threshold25,0.63,80,20
201080,SP_Tim,CSCI,Threshold25,0.79,60,40
201080,SP_Tim,CSCI,Threshold25,0.92,60,40
201080,SP_Tim,CSCI,Threshold50,0.63,60,40
201080,SP_Tim,CSCI,Threshold50,0.79,60,40
201080,SP_Tim,CSCI,Threshold50,0.92,52,48
201080,SP_Tim,CSCI,Threshold75,0.63,60,40
201080,SP_Tim,CSCI,Threshold75,0.79,52,48
201080,SP_Tim,CSCI,Threshold75,0.92,52,48
201090,DS_Dur_WS,ASCI,Threshold25,0.75,100,0
201090,DS_Dur_WS,ASCI,Threshold25,0.86,100,0
201090,DS_Dur_WS,ASCI,Threshold25,0.94,40,60
201090,DS_Dur_WS,ASCI,Threshold50,0.75,100,0
201090,DS_Dur_WS,ASCI,Threshold50,0.86,100,0
201090,DS_Dur_WS,ASCI,Threshold50,0.94,40,60
201090,DS_Dur_WS,ASCI,Threshold75,0.75,60,40
201090,DS_Dur_WS,ASCI,Threshold75,0.86,40,60
201090,DS_Dur_WS,ASCI,Threshold75,0.94,40,60
201090,DS_Dur_WS,CSCI,Threshold25,0.63,100,0
201090,DS_Dur_WS,CSCI,Threshold25,0.79,100,0
201090,DS_Dur_WS,CSCI,Threshold25,0.92,40,60
201090,DS_Dur_WS,CSCI,Threshold50,0.63,100,0
201090,DS_Dur_WS,CSCI,Threshold50,0.79,60,40
201090,DS_Dur_WS,CSCI,Threshold50,0.92,40,60
201090,DS_Dur_WS,CSCI,Threshold75,0.63,100,0
201090,DS_Dur_WS,CSCI,Threshold75,0.79,40,60
201090,DS_Dur_WS,CSCI,Threshold75,0.92,20,80
201090,Q99,ASCI,Threshold25,0.75,100,0
201090,Q99,ASCI,Threshold25,0.86,100,0
201090,Q99,ASCI,Threshold25,0.94,100,0
201090,Q99,ASCI,Threshold50,0.75,100,0
201090,Q99,ASCI,Threshold50,0.86,100,0
201090,Q99,ASCI,Threshold50,0.94,96,4
201090,Q99,ASCI,Threshold75,0.75,100,0
201090,Q99,ASCI,Threshold75,0.86,100,0
201090,Q99,ASCI,Threshold75,0.94,68,32
