site,Hydro_Metric,Biol,Threshold,Bio_threshold,Unaltered,Altered
101010,Q99,CSCI,Threshold75,0.92,20,80
101010,SP_Dur,ASCI,Threshold25,0.75,62.5,37.5
101010,SP_Dur,ASCI,Threshold25,0.86,56.25,43.75
101010,SP_Dur,ASCI,Threshold25,0.94,56.25,43.75
101010,SP_Dur,ASCI,Threshold50,0.75,56.25,43.75
101010,SP_Dur,ASCI,Threshold50,0.86,50,50
101010,SP_Dur,ASCI,Threshold50,0.94,37.5,62.5
101010,SP_Dur,ASCI,Threshold75,0.75,37.5,62.5
101010,SP_Dur,ASCI,Threshold75,0.86,31.25,68.75
101010,SP_Dur,ASCI,Threshold75,0.94,31.25,68.75
101010,SP_Tim,CSCI,Threshold25,0.63,68.75,31.25
101010,SP_Tim,CSCI,Threshold25,0.79,68.75,31.25
101010,SP_Tim,CSCI,Threshold25,0.92,68.75,31.25
101010,SP_Tim,CSCI,Threshold50,0.63,68.75,31.25
101010,SP_Tim,CSCI,Threshold50,0.79,68.75,31.25
101010,SP_Tim,CSCI,Threshold50,0.92,68.75,31.25
101010,SP_Tim,CSCI,Threshold75,0.63,68.75,31.25
101010,SP_Tim,CSCI,Threshold75,0.79,68.75,31.25
101010,SP_Tim,CSCI,Threshold75,0.92,68.75,31.25
101011,DS_Dur_WS,ASCI,Threshold25,0.75,100,0
101011,DS_Dur_WS,ASCI,Threshold25,0.86,100,0
101011,DS_Dur_WS,ASCI,Threshold25,0.94,62.5,37.5
101011,DS_Dur_WS,ASCI,Threshold50,0.75,100,0
101011,DS_Dur_WS,ASCI,Threshold50,0.86,87.5,12.5
101011,DS_Dur_WS,ASCI,Threshold50,0.94,37.5,62.5
101011,DS_Dur_WS,ASCI,Threshold75,0.75,50,50
101011,DS_Dur_WS,ASCI,Threshold75,0.86,50,50
101011,DS_Dur_WS,ASCI,Threshold75,0.94,25,75
101011,DS_Dur_WS,CSCI,Threshold25,0.63,100,0
101011,DS_Dur_WS,CSCI,Threshold25,0.79,87.5,12.5
101011,DS_Dur_WS,CSCI,Threshold25,0.92,37.5,62.5
101011,DS_Dur_WS,CSCI,Threshold50,0.63,100,0
101011,DS_Dur_WS,CSCI,Threshold50,0.79,62.5,37.5
101011,DS_Dur_WS,CSCI,Threshold50,0.92,25,75
