"","site","Hydro_Metric","YearsWithData"
"1",101010,"DS_Dur_WS",10
"2",101010,"Q99",25
"3",101010,"SP_Dur",16
"4",101010,"SP_Tim",16
"5",101011,"DS_Dur_WS",8
"6",101011,"Q99",25
"7",101011,"SP_Dur",16
"8",101011,"SP_Tim",16
"9",101012,"DS_Dur_WS",9
"10",101012,"Q99",25
"11",101012,"SP_Dur",16
"12",101012,"SP_Tim",16
"13",101020,"DS_Dur_WS",1
"14",101020,"Q99",25
"15",101020,"SP_Dur",6
"16",101020,"SP_Tim",6
"17",201010,"DS_Dur_WS",10
"18",201010,"Q99",25
"19",201010,"SP_Dur",25
"20",201010,"SP_Tim",25
"21",201020,"DS_Dur_WS",12
"22",201020,"Q99",25
"23",201020,"SP_Dur",25
"24",201020,"SP_Tim",25
"25",201030,"DS_Dur_WS",5
"26",201030,"Q99",25
"27",201030,"SP_Dur",12
"28",201030,"SP_Tim",12
"29",201031,"DS_Dur_WS",1
"30",201031,"Q99",25
"31",201031,"SP_Dur",6
"32",201031,"SP_Tim",6
"33",201040,"DS_Dur_WS",12
"34",201040,"Q99",25
"35",201040,"SP_Dur",25
"36",201040,"SP_Tim",25
"37",201041,"DS_Dur_WS",12
"38",201041,"Q99",25
"39",201041,"SP_Dur",25
"40",201041,"SP_Tim",25
"41",201050,"DS_Dur_WS",11
"42",201050,"Q99",25
"43",201050,"SP_Dur",23
"44",201050,"SP_Tim",23
"45",201060,"DS_Dur_WS",18
"46",201060,"Q99",25
"47",201060,"SP_Dur",23
"48",201060,"SP_Tim",23
"49",201061,"DS_Dur_WS",2
"50",201061,"Q99",25
"51",201061,"SP_Dur",9
"52",201061,"SP_Tim",9
"53",201062,"DS_Dur_WS",18
"54",201062,"Q99",25
"55",201062,"SP_Dur",22
"56",201062,"SP_Tim",22
"57",201070,"DS_Dur_WS",10
"58",201070,"Q99",25
"59",201070,"SP_Dur",25
"60",201070,"SP_Tim",25
"61",201080,"DS_Dur_WS",12
"62",201080,"Q99",25
"63",201080,"SP_Dur",25
"64",201080,"SP_Tim",25
"65",201090,"DS_Dur_WS",5
"66",201090,"Q99",25
"67",201090,"SP_Dur",12
"68",201090,"SP_Tim",12
"69",201091,"DS_Dur_WS",1
"70",201091,"Q99",25
"71",201091,"SP_Dur",6
"72",201091,"SP_Tim",6
"73",201100,"DS_Dur_WS",12
"74",201100,"Q99",25
"75",201100,"SP_Dur",25
"76",201100,"SP_Tim",25
"77",203010,"DS_Dur_WS",4
"78",203010,"Q99",25
"79",203010,"SP_Dur",12
"80",203010,"SP_Tim",12
"81",204010,"DS_Dur_WS",11
"82",204010,"Q99",25
"83",204010,"SP_Dur",25
"84",204010,"SP_Tim",25
"85",205010,"DS_Dur_WS",2
"86",205010,"Q99",25
"87",205010,"SP_Dur",10
"88",205010,"SP_Tim",10
"89",207010,"DS_Dur_WS",3
"90",207010,"Q99",25
"91",207010,"SP_Dur",10
"92",207010,"SP_Tim",10
"93",301010,"DS_Dur_WS",4
"94",301010,"Q99",25
"95",301010,"SP_Dur",12
"96",301010,"SP_Tim",12
"97",301011,"DS_Dur_WS",1
"98",301011,"Q99",25
"99",301011,"SP_Dur",7
"100",301011,"SP_Tim",7
"101",301020,"DS_Dur_WS",3
"102",301020,"Q99",25
"103",301020,"SP_Dur",8
"104",301020,"SP_Tim",8
"105",301030,"DS_Dur_WS",3
"106",301030,"Q99",25
"107",301030,"SP_Dur",8
"108",301030,"SP_Tim",8
"109",401070,"DS_Dur_WS",3
"110",401070,"Q99",25
"111",401070,"SP_Dur",8
"112",401070,"SP_Tim",8
"113",401080,"DS_Dur_WS",13
"114",401080,"Q99",25
"115",401080,"SP_Dur",23
"116",401080,"SP_Tim",23
"117",401100,"DS_Dur_WS",11
"118",401100,"Q99",25
"119",401100,"SP_Dur",25
"120",401100,"SP_Tim",25
"121",401101,"DS_Dur_WS",4
"122",401101,"Q99",25
"123",401101,"SP_Dur",9
"124",401101,"SP_Tim",9
"125",401110,"DS_Dur_WS",18
"126",401110,"Q99",25
"127",401110,"SP_Dur",22
"128",401110,"SP_Tim",22
"129",401120,"DS_Dur_WS",22
"130",401120,"Q99",25
"131",401120,"SP_Dur",25
"132",401120,"SP_Tim",25
"133",401121,"DS_Dur_WS",21
"134",401121,"Q99",25
"135",401121,"SP_Dur",19
"136",401121,"SP_Tim",25
"137",402010,"DS_Dur_WS",11
"138",402010,"Q99",25
"139",402010,"SP_Dur",25
"140",402010,"SP_Tim",25
"141",402020,"DS_Dur_WS",19
"142",402020,"Q99",25
"143",402020,"SP_Dur",25
"144",402020,"SP_Tim",25
"145",402021,"DS_Dur_WS",19
"146",402021,"Q99",25
"147",402021,"SP_Dur",25
"148",402021,"SP_Tim",25
"149",402022,"DS_Dur_WS",16
"150",402022,"Q99",25
"151",402022,"SP_Dur",25
"152",402022,"SP_Tim",25
"153",402023,"DS_Dur_WS",16
"154",402023,"Q99",25
"155",402023,"SP_Dur",25
"156",402023,"SP_Tim",25
"157",402030,"DS_Dur_WS",18
"158",402030,"Q99",25
"159",402030,"SP_Dur",25
"160",402030,"SP_Tim",25
"161",402031,"DS_Dur_WS",21
"162",402031,"Q99",25
"163",402031,"SP_Dur",25
"164",402031,"SP_Tim",25
"165",402040,"DS_Dur_WS",22
"166",402040,"Q99",25
"167",402040,"SP_Dur",25
"168",402040,"SP_Tim",25
"169",402041,"DS_Dur_WS",21
"170",402041,"Q99",25
"171",402041,"SP_Dur",17
"172",402041,"SP_Tim",25
"173",402050,"DS_Dur_WS",7
"174",402050,"Q99",25
"175",402050,"SP_Dur",13
"176",402050,"SP_Tim",13
"177",402051,"DS_Dur_WS",7
"178",402051,"Q99",25
"179",402051,"SP_Dur",12
"180",402051,"SP_Tim",12
"181",402060,"DS_Dur_WS",7
"182",402060,"Q99",25
"183",402060,"SP_Dur",11
"184",402060,"SP_Tim",11
"185",403010,"DS_Dur_WS",3
"186",403010,"Q99",25
"187",403010,"SP_Dur",8
"188",403010,"SP_Tim",8
"189",403011,"DS_Dur_WS",10
"190",403011,"Q99",25
