"","site","Hydro_Metric","YearsWithData"
"191",403011,"SP_Dur",23
"192",403011,"SP_Tim",23
"193",403020,"DS_Dur_WS",21
"194",403020,"Q99",25
"195",403020,"SP_Dur",25
"196",403020,"SP_Tim",25
"197",403030,"DS_Dur_WS",23
"198",403030,"Q99",25
"199",403030,"SP_Dur",25
"200",403030,"SP_Tim",25
"201",404010,"DS_Dur_WS",7
"202",404010,"Q99",25
"203",404010,"SP_Dur",15
"204",404010,"SP_Tim",15
"205",405010,"DS_Dur_WS",6
"206",405010,"Q99",25
"207",405010,"SP_Dur",12
"208",405010,"SP_Tim",12
"209",405020,"DS_Dur_WS",6
"210",405020,"Q99",25
"211",405020,"SP_Dur",12
"212",405020,"SP_Tim",12
"213",501010,"DS_Dur_WS",5
"214",501010,"Q99",25
"215",501010,"SP_Dur",12
"216",501010,"SP_Tim",12
"217",501011,"DS_Dur_WS",1
"218",501011,"Q99",25
"219",501011,"SP_Dur",9
"220",501011,"SP_Tim",9
"221",501020,"DS_Dur_WS",2
"222",501020,"Q99",25
"223",501020,"SP_Dur",9
"224",501020,"SP_Tim",9
"225",502010,"DS_Dur_WS",4
"226",502010,"Q99",25
"227",502010,"SP_Dur",10
"228",502010,"SP_Tim",10
"229",502011,"DS_Dur_WS",5
"230",502011,"Q99",25
"231",502011,"SP_Dur",11
"232",502011,"SP_Tim",11
"233",502020,"DS_Dur_WS",2
"234",502020,"Q99",25
"235",502020,"SP_Dur",9
"236",502020,"SP_Tim",9
"237",502030,"DS_Dur_WS",1
"238",502030,"Q99",25
"239",502030,"SP_Dur",8
"240",502030,"SP_Tim",8
