"","DS_Dur_WS","DS_Mag_50","DS_Mag_90","DS_Tim","FA_Dur","FA_Mag","FA_Tim","Q99","SP_Dur","SP_Mag","SP_ROC","SP_Tim","Wet_BFL_Dur","Wet_BFL_Mag_10","Wet_BFL_Mag_50","Wet_Tim"
"DS_Dur_WS",1,-0.241506152124293,-0.378925192655047,0.325716113831567,0.214638812966732,-0.213143372210386,0.361600166483171,-0.491112445863083,0.309377734227223,-0.488026872973881,-0.162754776795045,-0.157032542510511,-0.386855731381614,-0.0304104016958345,0.0984832605212942,0.465723543399131
"DS_Mag_50",-0.241506152124293,1,0.733457303348421,-0.154438029029824,-0.00508573259641954,0.184432072440506,-0.166542006249961,0.332840964988165,-0.35396770445998,0.131804504691074,0.212445730824891,0.241969214734498,0.178659755554027,0.283655098674495,0.0264467603663801,-0.0570925071546064
"DS_Mag_90",-0.378925192655047,0.733457303348421,1,-0.35393645353966,-0.166941319846563,0.182007932674811,-0.300520250234258,0.406716742724912,-0.432754825787608,0.315199171849047,0.224823379443188,0.36843212961715,0.367299472180127,0.362914840656381,0.0890344232243831,-0.363942832011308
"DS_Tim",0.325716113831567,-0.154438029029824,-0.35393645353966,1,0.31795917308896,-0.515340890354455,0.56767340766944,-0.67429610469266,0.708185176224915,-0.768922482433252,-0.374770399473208,-0.315098719598219,-0.691803108999784,0.182784340820662,0.300046344187572,0.67850900643337
"FA_Dur",0.214638812966732,-0.00508573259641954,-0.166941319846563,0.31795917308896,1,-0.372844085821164,0.305175942561632,-0.336525543136264,0.408957152701319,-0.466088773227081,-0.239613998996824,-0.376761795975542,-0.283042466308055,0.16420961337778,0.222714018362126,0.381752753709887
"FA_Mag",-0.213143372210386,0.184432072440506,0.182007932674811,-0.515340890354455,-0.372844085821164,1,-0.203588373537707,0.534283769328061,-0.468421866266291,0.529965257206544,0.358913606468288,0.397516929819452,0.501142891304958,-0.0717385161177441,-0.203232999495657,-0.397651032686061
"FA_Tim",0.361600166483171,-0.166542006249961,-0.300520250234258,0.56767340766944,0.305175942561632,-0.203588373537707,1,-0.752194241311158,0.540577466605599,-0.553494526697299,-0.373708334535014,-0.447984874172042,-0.693764177207505,0.200263628086131,0.469051560134643,0.681026301017826
"Q99",-0.491112445863083,0.332840964988165,0.406716742724912,-0.67429610469266,-0.336525543136264,0.534283769328061,-0.752194241311158,1,-0.578659782191564,0.778760180202009,0.502100794154327,0.503215979557297,0.793566531239274,-0.213246901871992,-0.489037345164271,-0.687034846785706
"SP_Dur",0.309377734227223,-0.35396770445998,-0.432754825787608,0.708185176224915,0.408957152701319,-0.468421866266291,0.540577466605599,-0.578659782191564,1,-0.664995407694547,-0.410782382196628,-0.602941643496292,-0.618352704848234,-0.0577506091290687,0.179676243391172,0.65809222961436
"SP_Mag",-0.488026872973881,0.131804504691074,0.315199171849047,-0.768922482433252,-0.466088773227081,0.529965257206544,-0.553494526697299,0.778760180202009,-0.664995407694547,1,0.373175847200915,0.397731367532012,0.646043023602416,-0.225626192328381,-0.246396168995941,-0.756606877227739
"SP_ROC",-0.162754776795045,0.212445730824891,0.224823379443188,-0.374770399473208,-0.239613998996824,0.358913606468288,-0.373708334535014,0.502100794154327,-0.410782382196628,0.373175847200915,1,0.403376176002919,0.495388146697551,-0.141248661380769,-0.432870388491298,-0.374845067465899
"SP_Tim",-0.157032542510511,0.241969214734498,0.36843212961715,-0.315098719598219,-0.376761795975542,0.397516929819452,-0.447984874172042,0.503215979557297,-0.602941643496292,0.397731367532012,0.403376176002919,1,0.628115730757746,0.205381630842084,-0.294734265184127,-0.501242157391329
"Wet_BFL_Dur",-0.386855731381614,0.178659755554027,0.367299472180127,-0.691803108999784,-0.283042466308055,0.501142891304958,-0.693764177207505,0.793566531239274,-0.618352704848234,0.646043023602416,0.495388146697551,0.628115730757746,1,-0.0309736858659507,-0.468574177742834,-0.712619852677215
"Wet_BFL_Mag_10",-0.0304104016958345,0.283655098674495,0.362914840656381,0.182784340820662,0.16420961337778,-0.0717385161177441,0.200263628086131,-0.213246901871992,-0.0577506091290687,-0.225626192328381,-0.141248661380769,0.205381630842084,-0.0309736858659507,1,0.531959863747926,0.189358396420131
"Wet_BFL_Mag_50",0.0984832605212942,0.0264467603663801,0.0890344232243831,0.300046344187572,0.222714018362126,-0.203232999495657,0.469051560134643,-0.489037345164271,0.179676243391172,-0.246396168995941,-0.432870388491298,-0.294734265184127,-0.468574177742834,0.531959863747926,1,0.276841941947194
"Wet_Tim",0.465723543399131,-0.0570925071546064,-0.363942832011308,0.67850900643337,0.381752753709887,-0.397651032686061,0.681026301017826,-0.687034846785706,0.65809222961436,-0.756606877227739,-0.374845067465899,-0.501242157391329,-0.712619852677215,0.189358396420131,0.276841941947194,1
