"","site","region","scenario","year","water_year_type","flow_metric","current_value_final","current_value_note","reference_value_final","reference_value_note","watercon_value_final","watercon_value_note","deltah_cur_ref_final","deltaH_watercon_ref_final"
"26",101020,"Oso and Small Creeks",NA,2002,"Dry","SP_Dur",87,"original",NA,"original",86,"original",NA,NA
"27",101020,"Oso and Small Creeks",NA,2002,"Dry","SP_Tim",123,"original",NA,"original",123,"original",NA,NA
"28",101020,"Oso and Small Creeks",NA,2003,"Wet","DS_Dur_WS",209,"original",NA,"original",214,"original",NA,NA
"29",101020,"Oso and Small Creeks",NA,2003,"Wet","SP_Dur",29,"original",132,"original",24,"original",-103,-108
"30",101020,"Oso and Small Creeks",NA,2003,"Wet","SP_Tim",199,"original",170,"original",199,"original",29,29
"31",101020,"Oso and Small Creeks",NA,2004,"Dry","DS_Dur_WS",206,"original",NA,"original",207,"original",NA,NA
"32",101020,"Oso and Small Creeks",NA,2004,"Dry","SP_Dur",16,"original",NA,"original",16,"original",NA,NA
"33",101020,"Oso and Small Creeks",NA,2004,"Dry","SP_Tim",152,"original",NA,"original",152,"original",NA,NA
"34",101020,"Oso and Small Creeks",NA,2005,"Wet","DS_Dur_WS",216,"original",NA,"original",206,"original",NA,NA
"35",101020,"Oso and Small Creeks",NA,2005,"Wet","SP_Dur",80,"original",20,"original",80,"original",60,60
"36",101020,"Oso and Small Creeks",NA,2005,"Wet","SP_Tim",147,"original",147,"original",147,"original",0,0
"37",101020,"Oso and Small Creeks",NA,2006,"Dry","DS_Dur_WS",186,"original",NA,"original",185,"original",NA,NA
"38",101020,"Oso and Small Creeks",NA,2006,"Dry","SP_Dur",5,"original",NA,"original",5,"original",NA,NA
"39",101020,"Oso and Small Creeks",NA,2006,"Dry","SP_Tim",237,"original",NA,"original",237,"original",NA,NA
"40",101020,"Oso and Small Creeks",NA,2007,"Dry","DS_Dur_WS",189,"original",NA,"original",189,"original",NA,NA
"41",101020,"Oso and Small Creeks",NA,2007,"Dry","SP_Dur",5,"original",NA,"original",5,"original",NA,NA
"42",101020,"Oso and Small Creeks",NA,2007,"Dry","SP_Tim",205,"original",NA,"original",205,"original",NA,NA
"43",101020,"Oso and Small Creeks",NA,2008,"Dry","DS_Dur_WS",233,"original",NA,"original",232,"original",NA,NA
"44",101020,"Oso and Small Creeks",NA,2008,"Dry","SP_Dur",21,"original",NA,"original",22,"original",NA,NA
"45",101020,"Oso and Small Creeks",NA,2008,"Dry","SP_Tim",148,"original",NA,"original",148,"original",NA,NA
"46",101020,"Oso and Small Creeks",NA,2009,"Dry","DS_Dur_WS",261,"original",NA,"original",260,"original",NA,NA
"47",101020,"Oso and Small Creeks",NA,2009,"Dry","SP_Dur",16,"original",NA,"original",17,"original",NA,NA
"48",101020,"Oso and Small Creeks",NA,2009,"Dry","SP_Tim",142,"original",NA,"original",142,"original",NA,NA
"49",101020,"Oso and Small Creeks",NA,2010,"Moderate","DS_Dur_WS",NA,"original",NA,"original",NA,"original",NA,NA
"50",101020,"Oso and Small Creeks",NA,2010,"Moderate","SP_Dur",70,"original",NA,"original",70,"original",NA,NA
"51",101020,"Oso and Small Creeks",NA,2010,"Moderate","SP_Tim",132,"original",NA,"original",132,"original",NA,NA
"52",101020,"Oso and Small Creeks",NA,2011,"Wet","DS_Dur_WS",NA,"original",NA,"original",NA,"original",NA,NA
"53",101020,"Oso and Small Creeks",NA,2011,"Wet","SP_Dur",120,"original",NA,"original",120,"original",NA,NA
"54",101020,"Oso and Small Creeks",NA,2011,"Wet","SP_Tim",175,"original",NA,"original",175,"original",NA,NA
"55",101020,"Oso and Small Creeks",NA,2012,"Moderate","DS_Dur_WS",105,"original",NA,"original",105,"original",NA,NA
"56",101020,"Oso and Small Creeks",NA,2012,"Moderate","SP_Dur",83,"original",NA,"original",83,"original",NA,NA
"57",101020,"Oso and Small Creeks",NA,2012,"Moderate","SP_Tim",212,"original",NA,"original",212,"original",NA,NA
"58",101020,"Oso and Small Creeks",NA,2013,"Dry","DS_Dur_WS",NA,"original",NA,"original",NA,"original",NA,NA
"59",101020,"Oso and Small Creeks",NA,2013,"Dry","SP_Dur",13,"original",NA,"original",12,"original",NA,NA
"60",101020,"Oso and Small Creeks",NA,2013,"Dry","SP_Tim",221,"original",NA,"original",221,"original",NA,NA
"61",101020,"Oso and Small Creeks",NA,2014,"Dry","DS_Dur_WS",NA,"original",NA,"original",NA,"original",NA,NA
"62",101020,"Oso and Small Creeks",NA,2014,"Dry","SP_Dur",27,"original",NA,"original",26,"original",NA,NA
