"","DS_Dur_WS","DS_Mag_50","DS_Mag_90","DS_Tim","FA_Dur","FA_Mag","FA_Tim","Q99","SP_Dur","SP_Mag","SP_ROC","SP_Tim","Wet_BFL_Dur","Wet_BFL_Mag_10","Wet_BFL_Mag_50","Wet_Tim"
"DS_Dur_WS",1,-0.148065529663285,-0.243141718202014,0.254031799634069,0.198130415302524,-0.183727800558738,0.0744731618588857,-0.255551643155319,0.144261396107503,-0.290748704681745,-0.107037769729151,0.0508055214045306,-0.194094981772292,-0.135588156764601,-0.0257816102249997,0.276192342932705
"DS_Mag_50",-0.148065529663285,1,0.796550077152466,0.0142595366345709,0.100189437120149,-0.0380952576479376,-0.0507148399549161,0.161481904183424,-0.224632423377703,-0.0705882352941176,0.3,0.15249956676321,0.0272505624784176,0.323156508407436,0.0192600126106921,0.101773638590832
"DS_Mag_90",-0.243141718202014,0.796550077152466,1,-0.171098639046254,0.1207393169341,-0.0272681511368377,-0.0813598907035453,0.232749436289472,-0.283691277859312,0.0819888487056296,0.230339958616063,0.144163623574497,0.142289259545008,0.459102940199324,0.257708043289681,-0.118184605149311
"DS_Tim",0.254031799634069,0.0142595366345709,-0.171098639046254,1,0.277136170857882,-0.423561037568678,0.642164659683689,-0.738569967182482,0.701066351579387,-0.76078218476243,-0.432710255572806,-0.27954208020935,-0.688945179348921,0.347496040342333,0.285763964843644,0.787076590030114
"FA_Dur",0.198130415302524,0.100189437120149,0.1207393169341,0.277136170857882,1,-0.306711323487257,0.253638932248449,-0.195200363995742,0.369381137100627,-0.34738484792886,-0.147210860063041,-0.142732173926858,-0.0273697111100714,0.193432356388984,-0.00542673772567928,0.273105677567283
"FA_Mag",-0.183727800558738,-0.0380952576479376,-0.0272681511368377,-0.423561037568678,-0.306711323487257,1,-0.00113042254474579,0.269911705008633,-0.289992393451579,0.41134772885805,0.248834980806741,0.0396188172407734,0.166522375284215,-0.0626203651719712,0.070278490021278,-0.169349188737498
"FA_Tim",0.0744731618588857,-0.0507148399549161,-0.0813598907035453,0.642164659683689,0.253638932248449,-0.00113042254474579,1,-0.741278479367201,0.569299173721524,-0.400780966459134,-0.424852513212583,-0.424908468997651,-0.660651934504226,0.336778637684158,0.48483701677527,0.711234210121945
"Q99",-0.255551643155319,0.161481904183424,0.232749436289472,-0.738569967182482,-0.195200363995742,0.269911705008633,-0.741278479367201,1,-0.602728798378339,0.729155248053878,0.53468678267648,0.449431623140456,0.743940871274798,-0.342485990398182,-0.500330100465283,-0.680027137978941
"SP_Dur",0.144261396107503,-0.224632423377703,-0.283691277859312,0.701066351579387,0.369381137100627,-0.289992393451579,0.569299173721524,-0.602728798378339,1,-0.534318850697964,-0.557394726917674,-0.696265247015397,-0.703159665348432,0.0523855101073062,0.182370334721491,0.735796744910337
"SP_Mag",-0.290748704681745,-0.0705882352941176,0.0819888487056296,-0.76078218476243,-0.34738484792886,0.41134772885805,-0.400780966459134,0.729155248053878,-0.534318850697964,1,0.278498985801217,0.214317572962305,0.50202734347032,-0.350745513519433,-0.156918418533428,-0.672480268606686
"SP_ROC",-0.107037769729151,0.3,0.230339958616063,-0.432710255572806,-0.147210860063041,0.248834980806741,-0.424852513212583,0.53468678267648,-0.557394726917674,0.278498985801217,1,0.477385007430883,0.579871403078479,-0.159042500057395,-0.29944251185255,-0.266302593870304
"SP_Tim",0.0508055214045306,0.15249956676321,0.144163623574497,-0.27954208020935,-0.142732173926858,0.0396188172407734,-0.424908468997651,0.449431623140456,-0.696265247015397,0.214317572962305,0.477385007430883,1,0.578858262590197,0.111829206433948,-0.173434308168398,-0.528327346340594
"Wet_BFL_Dur",-0.194094981772292,0.0272505624784176,0.142289259545008,-0.688945179348921,-0.0273697111100714,0.166522375284215,-0.660651934504226,0.743940871274798,-0.703159665348432,0.50202734347032,0.579871403078479,0.578858262590197,1,-0.105619496102469,-0.344416465843558,-0.672342549886814
"Wet_BFL_Mag_10",-0.135588156764601,0.323156508407436,0.459102940199324,0.347496040342333,0.193432356388984,-0.0626203651719712,0.336778637684158,-0.342485990398182,0.0523855101073062,-0.350745513519433,-0.159042500057395,0.111829206433948,-0.105619496102469,1,0.551703265080888,0.275499332665574
"Wet_BFL_Mag_50",-0.0257816102249997,0.0192600126106921,0.257708043289681,0.285763964843644,-0.00542673772567928,0.070278490021278,0.48483701677527,-0.500330100465283,0.182370334721491,-0.156918418533428,-0.29944251185255,-0.173434308168398,-0.344416465843558,0.551703265080888,1,0.217903129642794
"Wet_Tim",0.276192342932705,0.101773638590832,-0.118184605149311,0.787076590030114,0.273105677567283,-0.169349188737498,0.711234210121945,-0.680027137978941,0.735796744910337,-0.672480268606686,-0.266302593870304,-0.528327346340594,-0.672342549886814,0.275499332665574,0.217903129642794,1
