"","metric","Threshold25","Threshold50","Threshold75","n","Type","Biol","Bio_endpoint","Bio_threshold","Hydro_endpoint"
"1","CSCI_DS_Dur_WS_0.63_Positive",148.411247148827,107.112456908221,63.6373409625262,144,"Positive","CSCI","CSCI",0.63,"DS_Dur_WS"
"2","CSCI_Q99_0.63_Positive",1485.09479227664,936.878402411924,480.547058364857,315,"Positive","CSCI","CSCI",0.63,"Q99"
"3","CSCI_SP_Tim_0.63_Positive",46.4959391826983,31.9057168459316,18.4558708175818,307,"Positive","CSCI","CSCI",0.63,"SP_Tim"
"4","CSCI_DS_Dur_WS_0.79_Positive",54.5426974036808,34.4721748044378,18.168898362588,144,"Positive","CSCI","CSCI",0.79,"DS_Dur_WS"
"5","CSCI_Q99_0.79_Positive",376.6091164669,212.337517945691,98.5941415092875,315,"Positive","CSCI","CSCI",0.79,"Q99"
"6","CSCI_SP_Tim_0.79_Positive",24.5471922288843,14.7457820039424,7.33807359765493,307,"Positive","CSCI","CSCI",0.79,"SP_Tim"
"7","CSCI_DS_Dur_WS_0.92_Positive",7.61588665886526,4.14672749341744,1.95170623938159,144,"Positive","CSCI","CSCI",0.92,"DS_Dur_WS"
"8","CSCI_Q99_0.92_Positive",18.4298086192046,10.1816257583584,4.63244512484891,315,"Positive","CSCI","CSCI",0.92,"Q99"
"9","CSCI_SP_Tim_0.92_Positive",15.0570963193506,8.35554153311676,4.10002387639781,307,"Positive","CSCI","CSCI",0.92,"SP_Tim"
"10","CSCI_DS_Dur_WS_0.63_Negative",-146.502057167552,-98.8711037799599,-53.0748057819161,230,"Negative","CSCI","CSCI",0.63,"DS_Dur_WS"
"11","CSCI_Q99_0.63_Negative",-0.0547254051749061,-0.0370199694753525,-0.0187954900037934,105,"Negative","CSCI","CSCI",0.63,"Q99"
"12","CSCI_SP_Tim_0.63_Negative",-107.553911083852,-73.0301817613252,-37.7125544104196,102,"Negative","CSCI","CSCI",0.63,"SP_Tim"
"13","CSCI_DS_Dur_WS_0.79_Negative",-114.357071735496,-68.6705247798442,-33.377638796969,230,"Negative","CSCI","CSCI",0.79,"DS_Dur_WS"
"14","CSCI_Q99_0.79_Negative",-0.055740020660708,-0.0399615063143821,-0.0226474531050991,105,"Negative","CSCI","CSCI",0.79,"Q99"
"15","CSCI_SP_Tim_0.79_Negative",-90.8386820452718,-55.1482865744258,-26.1719264342547,102,"Negative","CSCI","CSCI",0.79,"SP_Tim"
"16","CSCI_DS_Dur_WS_0.92_Negative",-100.633237520447,-56.9709701972696,-26.1754124885205,230,"Negative","CSCI","CSCI",0.92,"DS_Dur_WS"
"17","CSCI_Q99_0.92_Negative",-0.0424752701122969,-0.025999695448909,-0.012759965229807,105,"Negative","CSCI","CSCI",0.92,"Q99"
"18","CSCI_SP_Tim_0.92_Negative",-89.6775111303734,-52.8944943051374,-24.0873011207933,102,"Negative","CSCI","CSCI",0.92,"SP_Tim"
