"","site","Hydro_Metric","Biol","Threshold","Bio_threshold","High","Low","Direction"
"1",101010,"DS_Dur_WS","ASCI","Threshold25",0.75,100,NA,"High"
"2",101010,"DS_Dur_WS","ASCI","Threshold25",0.86,100,NA,"High"
"3",101010,"DS_Dur_WS","ASCI","Threshold25",0.94,100,NA,"High"
"4",101010,"DS_Dur_WS","ASCI","Threshold50",0.75,100,NA,"High"
"5",101010,"DS_Dur_WS","ASCI","Threshold50",0.86,100,NA,"High"
"6",101010,"DS_Dur_WS","ASCI","Threshold50",0.94,100,NA,"High"
"7",101010,"DS_Dur_WS","ASCI","Threshold75",0.75,100,NA,"High"
"8",101010,"DS_Dur_WS","ASCI","Threshold75",0.86,100,NA,"High"
"9",101010,"DS_Dur_WS","ASCI","Threshold75",0.94,100,NA,"High"
"10",101010,"DS_Dur_WS","CSCI","Threshold25",0.79,100,NA,"High"
"11",101010,"DS_Dur_WS","CSCI","Threshold25",0.92,100,NA,"High"
"12",101010,"DS_Dur_WS","CSCI","Threshold50",0.63,100,NA,"High"
"13",101010,"DS_Dur_WS","CSCI","Threshold50",0.79,100,NA,"High"
"14",101010,"DS_Dur_WS","CSCI","Threshold50",0.92,100,NA,"High"
"15",101010,"DS_Dur_WS","CSCI","Threshold75",0.63,100,NA,"High"
"16",101010,"DS_Dur_WS","CSCI","Threshold75",0.79,100,NA,"High"
"17",101010,"DS_Dur_WS","CSCI","Threshold75",0.92,88.8888888888889,11.1111111111111,"High"
"18",101010,"Q99","ASCI","Threshold25",0.94,100,NA,"High"
"19",101010,"Q99","ASCI","Threshold50",0.94,100,NA,"High"
"20",101010,"Q99","ASCI","Threshold75",0.94,100,NA,"High"
"21",101010,"Q99","CSCI","Threshold25",0.92,100,NA,"High"
"22",101010,"Q99","CSCI","Threshold50",0.92,100,NA,"High"
"23",101010,"Q99","CSCI","Threshold75",0.92,100,NA,"High"
"24",101010,"SP_Dur","ASCI","Threshold25",0.75,14.2857142857143,85.7142857142857,"Low"
"25",101010,"SP_Dur","ASCI","Threshold25",0.86,12.5,87.5,"Low"
"26",101010,"SP_Dur","ASCI","Threshold25",0.94,12.5,87.5,"Low"
"27",101010,"SP_Dur","ASCI","Threshold50",0.75,12.5,87.5,"Low"
"28",101010,"SP_Dur","ASCI","Threshold50",0.86,12.5,87.5,"Low"
"29",101010,"SP_Dur","ASCI","Threshold50",0.94,11.1111111111111,88.8888888888889,"Low"
"30",101010,"SP_Dur","ASCI","Threshold75",0.75,11.1111111111111,88.8888888888889,"Low"
"31",101010,"SP_Dur","ASCI","Threshold75",0.86,10,90,"Low"
"32",101010,"SP_Dur","ASCI","Threshold75",0.94,10,90,"Low"
"33",101010,"SP_Tim","CSCI","Threshold25",0.63,100,NA,"High"
"34",101010,"SP_Tim","CSCI","Threshold25",0.79,100,NA,"High"
"35",101010,"SP_Tim","CSCI","Threshold25",0.92,100,NA,"High"
"36",101010,"SP_Tim","CSCI","Threshold50",0.63,100,NA,"High"
"37",101010,"SP_Tim","CSCI","Threshold50",0.79,100,NA,"High"
"38",101010,"SP_Tim","CSCI","Threshold50",0.92,100,NA,"High"
"39",101010,"SP_Tim","CSCI","Threshold75",0.63,100,NA,"High"
"40",101010,"SP_Tim","CSCI","Threshold75",0.79,100,NA,"High"
"41",101010,"SP_Tim","CSCI","Threshold75",0.92,100,NA,"High"
"42",101011,"DS_Dur_WS","ASCI","Threshold25",0.94,100,NA,"High"
"43",101011,"DS_Dur_WS","ASCI","Threshold50",0.86,100,NA,"High"
"44",101011,"DS_Dur_WS","ASCI","Threshold50",0.94,100,NA,"High"
"45",101011,"DS_Dur_WS","ASCI","Threshold75",0.75,75,25,"High"
