,site,Hydro_Metric,Biol,Threshold,Bio_threshold,Altered,Unaltered
1311,301011,DS_Dur_WS,CSCI,Threshold50,0.92,100,0
1313,301011,DS_Dur_WS,CSCI,Threshold75,0.79,100,0
1314,301011,DS_Dur_WS,CSCI,Threshold75,0.92,100,0
1368,301020,DS_Dur_WS,CSCI,Threshold75,0.92,100,0
1926,402020,Q99,CSCI,Threshold75,0.92,100,0
1980,402021,Q99,CSCI,Threshold75,0.92,100,0
2034,402022,Q99,CSCI,Threshold75,0.92,100,0
2088,402023,Q99,CSCI,Threshold75,0.92,100,0
2340,402050,DS_Dur_WS,CSCI,Threshold75,0.92,100,0
2492,403010,DS_Dur_WS,ASCI,Threshold75,0.86,100,0
2493,403010,DS_Dur_WS,ASCI,Threshold75,0.94,100,0
2499,403010,DS_Dur_WS,CSCI,Threshold50,0.92,100,0
2501,403010,DS_Dur_WS,CSCI,Threshold75,0.79,100,0
2502,403010,DS_Dur_WS,CSCI,Threshold75,0.92,100,0
2628,403020,Q99,CSCI,Threshold75,0.92,100,0
2816,405020,DS_Dur_WS,ASCI,Threshold75,0.86,100,0
2817,405020,DS_Dur_WS,ASCI,Threshold75,0.94,100,0
2825,405020,DS_Dur_WS,CSCI,Threshold75,0.79,100,0
2826,405020,DS_Dur_WS,CSCI,Threshold75,0.92,100,0
2880,501010,DS_Dur_WS,CSCI,Threshold75,0.92,100,0
2960,501011,SP_Dur,ASCI,Threshold75,0.86,100,0
2961,501011,SP_Dur,ASCI,Threshold75,0.94,100,0
2976,501020,DS_Dur_WS,ASCI,Threshold50,0.94,100,0
2979,501020,DS_Dur_WS,ASCI,Threshold75,0.94,100,0
2982,501020,DS_Dur_WS,CSCI,Threshold25,0.92,100,0
2985,501020,DS_Dur_WS,CSCI,Threshold50,0.92,100,0
2987,501020,DS_Dur_WS,CSCI,Threshold75,0.79,100,0
2988,501020,DS_Dur_WS,CSCI,Threshold75,0.92,100,0
3096,502011,DS_Dur_WS,CSCI,Threshold75,0.92,100,0
3150,502020,DS_Dur_WS,CSCI,Threshold75,0.92,100,0
3193,502030,DS_Dur_WS,ASCI,Threshold75,0.75,100,0
3194,502030,DS_Dur_WS,ASCI,Threshold75,0.86,100,0
3195,502030,DS_Dur_WS,ASCI,Threshold75,0.94,100,0
3200,502030,DS_Dur_WS,CSCI,Threshold50,0.79,100,0
3201,502030,DS_Dur_WS,CSCI,Threshold50,0.92,100,0
3202,502030,DS_Dur_WS,CSCI,Threshold75,0.63,100,0
3203,502030,DS_Dur_WS,CSCI,Threshold75,0.79,100,0
3204,502030,DS_Dur_WS,CSCI,Threshold75,0.92,100,0
300,201020,Q99,CSCI,Threshold25,0.92,96,4
459,201040,Q99,ASCI,Threshold75,0.94,96,4
465,201040,Q99,CSCI,Threshold50,0.92,96,4
519,201041,Q99,CSCI,Threshold50,0.92,96,4
630,201060,Q99,CSCI,Threshold75,0.92,96,4
738,201062,Q99,CSCI,Threshold75,0.92,96,4
786,201070,Q99,CSCI,Threshold25,0.92,96,4
840,201080,Q99,CSCI,Threshold25,0.92,96,4
999,201100,Q99,ASCI,Threshold75,0.94,96,4
1005,201100,Q99,CSCI,Threshold50,0.92,96,4
1124,204010,SP_Dur,ASCI,Threshold75,0.86,96,4
1125,204010,SP_Dur,ASCI,Threshold75,0.94,96,4
1977,402021,Q99,CSCI,Threshold50,0.92,96,4
2031,402022,Q99,CSCI,Threshold50,0.92,96,4
2625,403020,Q99,CSCI,Threshold50,0.92,96,4
2736,404010,Q99,CSCI,Threshold75,0.92,96,4
2790,405010,Q99,CSCI,Threshold75,0.92,96,4
240,201010,Q99,ASCI,Threshold50,0.94,92,8
294,201020,Q99,ASCI,Threshold50,0.94,92,8
462,201040,Q99,CSCI,Threshold25,0.92,92,8
513,201041,Q99,ASCI,Threshold75,0.94,92,8
516,201041,Q99,CSCI,Threshold25,0.92,92,8
621,201060,Q99,ASCI,Threshold75,0.94,92,8
627,201060,Q99,CSCI,Threshold50,0.92,92,8
780,201070,Q99,ASCI,Threshold50,0.94,92,8
801,201070,SP_Dur,ASCI,Threshold75,0.94,92,8
834,201080,Q99,ASCI,Threshold50,0.94,92,8
855,201080,SP_Dur,ASCI,Threshold75,0.94,92,8
1002,201100,Q99,CSCI,Threshold25,0.92,92,8
1113,204010,Q99,CSCI,Threshold50,0.92,92,8
1123,204010,SP_Dur,ASCI,Threshold75,0.75,92,8
1548,401080,Q99,CSCI,Threshold75,0.92,92,8
1917,402020,Q99,ASCI,Threshold75,0.94,92,8
1923,402020,Q99,CSCI,Threshold50,0.92,92,8
1971,402021,Q99,ASCI,Threshold75,0.94,92,8
2025,402022,Q99,ASCI,Threshold75,0.94,92,8
2085,402023,Q99,CSCI,Threshold50,0.92,92,8
2142,402030,Q99,CSCI,Threshold75,0.92,92,8
2196,402031,Q99,CSCI,Threshold75,0.92,92,8
2358,402050,Q99,CSCI,Threshold75,0.92,92,8
2574,403011,Q99,CSCI,Threshold75,0.92,92,8
2619,403020,Q99,ASCI,Threshold75,0.94,92,8
2682,403030,Q99,CSCI,Threshold75,0.92,92,8
2844,405020,Q99,CSCI,Threshold75,0.92,92,8
2898,501010,Q99,CSCI,Threshold75,0.92,92,8
3060,502010,Q99,CSCI,Threshold75,0.92,92,8
3114,502011,Q99,CSCI,Threshold75,0.92,92,8
279,201020,DS_Dur_WS,ASCI,Threshold75,0.94,91.66666667,8.333333333
285,201020,DS_Dur_WS,CSCI,Threshold50,0.92,91.66666667,8.333333333
288,201020,DS_Dur_WS,CSCI,Threshold75,0.92,91.66666667,8.333333333
816,201080,DS_Dur_WS,ASCI,Threshold50,0.94,91.66666667,8.333333333
825,201080,DS_Dur_WS,CSCI,Threshold50,0.92,91.66666667,8.333333333
1071,203010,SP_Dur,ASCI,Threshold75,0.94,91.66666667,8.333333333
1098,204010,DS_Dur_WS,CSCI,Threshold75,0.92,91.66666667,8.333333333
584,201050,SP_Dur,ASCI,Threshold75,0.86,91.30434783,8.695652174
585,201050,SP_Dur,ASCI,Threshold75,0.94,91.30434783,8.695652174
546,201050,DS_Dur_WS,ASCI,Threshold50,0.94,90.90909091,9.090909091
547,201050,DS_Dur_WS,ASCI,Threshold75,0.75,90.90909091,9.090909091
552,201050,DS_Dur_WS,CSCI,Threshold25,0.92,90.90909091,9.090909091
555,201050,DS_Dur_WS,CSCI,Threshold50,0.92,90.90909091,9.090909091
1584,401100,DS_Dur_WS,CSCI,Threshold75,0.92,90.90909091,9.090909091
18,101010,DS_Dur_WS,CSCI,Threshold75,0.92,90,10
225,201010,DS_Dur_WS,ASCI,Threshold75,0.94,90,10
231,201010,DS_Dur_WS,CSCI,Threshold50,0.92,90,10
771,201070,DS_Dur_WS,CSCI,Threshold50,0.92,90,10
773,201070,DS_Dur_WS,CSCI,Threshold75,0.79,90,10
1231,207010,SP_Dur,ASCI,Threshold75,0.75,90,10
1232,207010,SP_Dur,ASCI,Threshold75,0.86,90,10
1233,207010,SP_Dur,ASCI,Threshold75,0.94,90,10
2556,403011,DS_Dur_WS,CSCI,Threshold75,0.92,90,10
1908,402020,DS_Dur_WS,CSCI,Threshold75,0.92,89.47368421,10.52631579
2959,501011,SP_Dur,ASCI,Threshold75,0.75,88.88888889,11.11111111
3014,501020,SP_Dur,ASCI,Threshold75,0.86,88.88888889,11.11111111
3015,501020,SP_Dur,ASCI,Threshold75,0.94,88.88888889,11.11111111
237,201010,Q99,ASCI,Threshold25,0.94,88,12
291,201020,Q99,ASCI,Threshold25,0.94,88,12
456,201040,Q99,ASCI,Threshold50,0.94,88,12
510,201041,Q99,ASCI,Threshold50,0.94,88,12
576,201050,Q99,CSCI,Threshold75,0.92,88,12
624,201060,Q99,CSCI,Threshold25,0.92,88,12
729,201062,Q99,ASCI,Threshold75,0.94,88,12
735,201062,Q99,CSCI,Threshold50,0.92,88,12
777,201070,Q99,ASCI,Threshold25,0.94,88,12
831,201080,Q99,ASCI,Threshold25,0.94,88,12
854,201080,SP_Dur,ASCI,Threshold75,0.86,88,12
996,201100,Q99,ASCI,Threshold50,0.94,88,12
1059,203010,Q99,CSCI,Threshold50,0.92,88,12
1062,203010,Q99,CSCI,Threshold75,0.92,88,12
1107,204010,Q99,ASCI,Threshold75,0.94,88,12
1278,301010,Q99,CSCI,Threshold75,0.92,88,12
1920,402020,Q99,CSCI,Threshold25,0.92,88,12
1974,402021,Q99,CSCI,Threshold25,0.92,88,12
2079,402023,Q99,ASCI,Threshold75,0.94,88,12
2412,402051,Q99,CSCI,Threshold75,0.92,88,12
2622,403020,Q99,CSCI,Threshold25,0.92,88,12
2070,402023,DS_Dur_WS,CSCI,Threshold75,0.92,87.5,12.5
2708,404010,DS_Dur_WS,ASCI,Threshold75,0.86,87.5,12.5
2709,404010,DS_Dur_WS,ASCI,Threshold75,0.94,87.5,12.5
2717,404010,DS_Dur_WS,CSCI,Threshold75,0.79,87.5,12.5
2718,404010,DS_Dur_WS,CSCI,Threshold75,0.92,87.5,12.5
583,201050,SP_Dur,ASCI,Threshold75,0.75,86.95652174,13.04347826
2742,404010,SP_Dur,ASCI,Threshold50,0.94,86.66666667,13.33333333
2743,404010,SP_Dur,ASCI,Threshold75,0.75,86.66666667,13.33333333
2744,404010,SP_Dur,ASCI,Threshold75,0.86,86.66666667,13.33333333
2745,404010,SP_Dur,ASCI,Threshold75,0.94,86.66666667,13.33333333
2339,402050,DS_Dur_WS,CSCI,Threshold75,0.79,85.71428571,14.28571429
2393,402051,DS_Dur_WS,CSCI,Threshold75,0.79,85.71428571,14.28571429
2394,402051,DS_Dur_WS,CSCI,Threshold75,0.92,85.71428571,14.28571429
2448,402060,DS_Dur_WS,CSCI,Threshold75,0.92,85.71428571,14.28571429
1530,401080,DS_Dur_WS,CSCI,Threshold75,0.92,84.61538462,15.38461538
1962,402021,DS_Dur_WS,CSCI,Threshold75,0.92,84.21052632,15.78947368
618,201060,Q99,ASCI,Threshold50,0.94,84,16
684,201061,Q99,CSCI,Threshold75,0.92,84,16
800,201070,SP_Dur,ASCI,Threshold75,0.86,84,16
1053,203010,Q99,ASCI,Threshold75,0.94,84,16
1110,204010,Q99,CSCI,Threshold25,0.92,84,16
1122,204010,SP_Dur,ASCI,Threshold50,0.94,84,16
1170,205010,Q99,CSCI,Threshold75,0.92,84,16
1914,402020,Q99,ASCI,Threshold50,0.94,84,16
1968,402021,Q99,ASCI,Threshold50,0.94,84,16
1989,402021,SP_Dur,ASCI,Threshold75,0.94,84,16
2022,402022,Q99,ASCI,Threshold50,0.94,84,16
2028,402022,Q99,CSCI,Threshold25,0.92,84,16
2043,402022,SP_Dur,ASCI,Threshold75,0.94,84,16
2076,402023,Q99,ASCI,Threshold50,0.94,84,16
2082,402023,Q99,CSCI,Threshold25,0.92,84,16
2093,402023,SP_Dur,ASCI,Threshold50,0.86,84,16
2094,402023,SP_Dur,ASCI,Threshold50,0.94,84,16
2095,402023,SP_Dur,ASCI,Threshold75,0.75,84,16
2096,402023,SP_Dur,ASCI,Threshold75,0.86,84,16
2097,402023,SP_Dur,ASCI,Threshold75,0.94,84,16
2133,402030,Q99,ASCI,Threshold75,0.94,84,16
2139,402030,Q99,CSCI,Threshold50,0.92,84,16
2147,402030,SP_Dur,ASCI,Threshold50,0.86,84,16
2148,402030,SP_Dur,ASCI,Threshold50,0.94,84,16
2149,402030,SP_Dur,ASCI,Threshold75,0.75,84,16
2150,402030,SP_Dur,ASCI,Threshold75,0.86,84,16
2151,402030,SP_Dur,ASCI,Threshold75,0.94,84,16
2187,402031,Q99,ASCI,Threshold75,0.94,84,16
2193,402031,Q99,CSCI,Threshold50,0.92,84,16
2201,402031,SP_Dur,ASCI,Threshold50,0.86,84,16
2202,402031,SP_Dur,ASCI,Threshold50,0.94,84,16
2203,402031,SP_Dur,ASCI,Threshold75,0.75,84,16
2204,402031,SP_Dur,ASCI,Threshold75,0.86,84,16
2205,402031,SP_Dur,ASCI,Threshold75,0.94,84,16
2355,402050,Q99,CSCI,Threshold50,0.92,84,16
2409,402051,Q99,CSCI,Threshold50,0.92,84,16
2466,402060,Q99,CSCI,Threshold75,0.92,84,16
2616,403020,Q99,ASCI,Threshold50,0.94,84,16
2679,403030,Q99,CSCI,Threshold50,0.92,84,16
2781,405010,Q99,ASCI,Threshold75,0.94,84,16
2787,405010,Q99,CSCI,Threshold50,0.92,84,16
2841,405020,Q99,CSCI,Threshold50,0.92,84,16
3057,502010,Q99,CSCI,Threshold50,0.92,84,16
205,101020,SP_Dur,ASCI,Threshold75,0.75,83.33333333,16.66666667
206,101020,SP_Dur,ASCI,Threshold75,0.86,83.33333333,16.66666667
207,101020,SP_Dur,ASCI,Threshold75,0.94,83.33333333,16.66666667
282,201020,DS_Dur_WS,CSCI,Threshold25,0.92,83.33333333,16.66666667
422,201031,SP_Dur,ASCI,Threshold75,0.86,83.33333333,16.66666667
423,201031,SP_Dur,ASCI,Threshold75,0.94,83.33333333,16.66666667
822,201080,DS_Dur_WS,CSCI,Threshold25,0.92,83.33333333,16.66666667
961,201091,SP_Dur,ASCI,Threshold75,0.75,83.33333333,16.66666667
1070,203010,SP_Dur,ASCI,Threshold75,0.86,83.33333333,16.66666667
1089,204010,DS_Dur_WS,ASCI,Threshold75,0.94,83.33333333,16.66666667
1092,204010,DS_Dur_WS,CSCI,Threshold25,0.92,83.33333333,16.66666667
1095,204010,DS_Dur_WS,CSCI,Threshold50,0.92,83.33333333,16.66666667
1097,204010,DS_Dur_WS,CSCI,Threshold75,0.79,83.33333333,16.66666667
2115,402030,DS_Dur_WS,ASCI,Threshold75,0.94,83.33333333,16.66666667
2124,402030,DS_Dur_WS,CSCI,Threshold75,0.92,83.33333333,16.66666667
2762,405010,DS_Dur_WS,ASCI,Threshold75,0.86,83.33333333,16.66666667
2763,405010,DS_Dur_WS,ASCI,Threshold75,0.94,83.33333333,16.66666667
2771,405010,DS_Dur_WS,CSCI,Threshold75,0.79,83.33333333,16.66666667
2772,405010,DS_Dur_WS,CSCI,Threshold75,0.92,83.33333333,16.66666667
2799,405010,SP_Dur,ASCI,Threshold75,0.94,83.33333333,16.66666667
2815,405020,DS_Dur_WS,ASCI,Threshold75,0.75,83.33333333,16.66666667
2823,405020,DS_Dur_WS,CSCI,Threshold50,0.92,83.33333333,16.66666667
2824,405020,DS_Dur_WS,CSCI,Threshold75,0.63,83.33333333,16.66666667
2852,405020,SP_Dur,ASCI,Threshold75,0.86,83.33333333,16.66666667
2853,405020,SP_Dur,ASCI,Threshold75,0.94,83.33333333,16.66666667
582,201050,SP_Dur,ASCI,Threshold50,0.94,82.60869565,17.39130435
639,201060,SP_Dur,ASCI,Threshold75,0.94,82.60869565,17.39130435
2583,403011,SP_Dur,ASCI,Threshold75,0.94,82.60869565,17.39130435
543,201050,DS_Dur_WS,ASCI,Threshold25,0.94,81.81818182,18.18181818
554,201050,DS_Dur_WS,CSCI,Threshold50,0.79,81.81818182,18.18181818
1583,401100,DS_Dur_WS,CSCI,Threshold75,0.79,81.81818182,18.18181818
2474,402060,SP_Dur,ASCI,Threshold75,0.86,81.81818182,18.18181818
2475,402060,SP_Dur,ASCI,Threshold75,0.94,81.81818182,18.18181818
3122,502011,SP_Dur,ASCI,Threshold75,0.86,81.81818182,18.18181818
3123,502011,SP_Dur,ASCI,Threshold75,0.94,81.81818182,18.18181818
2016,402022,DS_Dur_WS,CSCI,Threshold75,0.92,81.25,18.75
2061,402023,DS_Dur_WS,ASCI,Threshold75,0.94,81.25,18.75
2069,402023,DS_Dur_WS,CSCI,Threshold75,0.79,81.25,18.75
228,201010,DS_Dur_WS,CSCI,Threshold25,0.92,80,20
233,201010,DS_Dur_WS,CSCI,Threshold75,0.79,80,20
261,201010,SP_Dur,ASCI,Threshold75,0.94,80,20
330,201030,DS_Dur_WS,ASCI,Threshold50,0.94,80,20
336,201030,DS_Dur_WS,CSCI,Threshold25,0.92,80,20
341,201030,DS_Dur_WS,CSCI,Threshold75,0.79,80,20
453,201040,Q99,ASCI,Threshold25,0.94,80,20
476,201040,SP_Dur,ASCI,Threshold75,0.86,80,20
477,201040,SP_Dur,ASCI,Threshold75,0.94,80,20
507,201041,Q99,ASCI,Threshold25,0.94,80,20
531,201041,SP_Dur,ASCI,Threshold75,0.94,80,20
732,201062,Q99,CSCI,Threshold25,0.92,80,20
762,201070,DS_Dur_WS,ASCI,Threshold50,0.94,80,20
768,201070,DS_Dur_WS,CSCI,Threshold25,0.92,80,20
873,201090,DS_Dur_WS,ASCI,Threshold75,0.94,80,20
876,201090,DS_Dur_WS,CSCI,Threshold25,0.92,80,20
879,201090,DS_Dur_WS,CSCI,Threshold50,0.92,80,20
882,201090,DS_Dur_WS,CSCI,Threshold75,0.92,80,20
993,201100,Q99,ASCI,Threshold25,0.94,80,20
1016,201100,SP_Dur,ASCI,Threshold75,0.86,80,20
1017,201100,SP_Dur,ASCI,Threshold75,0.94,80,20
1121,204010,SP_Dur,ASCI,Threshold50,0.86,80,20
1175,205010,SP_Dur,ASCI,Threshold50,0.86,80,20
1176,205010,SP_Dur,ASCI,Threshold50,0.94,80,20
1177,205010,SP_Dur,ASCI,Threshold75,0.75,80,20
1178,205010,SP_Dur,ASCI,Threshold75,0.86,80,20
1179,205010,SP_Dur,ASCI,Threshold75,0.94,80,20
1275,301010,Q99,CSCI,Threshold50,0.92,80,20
1602,401100,Q99,CSCI,Threshold75,0.92,80,20
1872,402010,Q99,CSCI,Threshold75,0.92,80,20
1935,402020,SP_Dur,ASCI,Threshold75,0.94,80,20
1988,402021,SP_Dur,ASCI,Threshold75,0.86,80,20
2042,402022,SP_Dur,ASCI,Threshold75,0.86,80,20
2403,402051,Q99,ASCI,Threshold75,0.94,80,20
2547,403011,DS_Dur_WS,ASCI,Threshold75,0.94,80,20
2553,403011,DS_Dur_WS,CSCI,Threshold50,0.92,80,20
2673,403030,Q99,ASCI,Threshold75,0.94,80,20
2727,404010,Q99,ASCI,Threshold75,0.94,80,20
2733,404010,Q99,CSCI,Threshold50,0.92,80,20
2739,404010,SP_Dur,ASCI,Threshold25,0.94,80,20
2740,404010,SP_Dur,ASCI,Threshold50,0.75,80,20
2741,404010,SP_Dur,ASCI,Threshold50,0.86,80,20
2835,405020,Q99,ASCI,Threshold75,0.94,80,20
2871,501010,DS_Dur_WS,ASCI,Threshold75,0.94,80,20
2879,501010,DS_Dur_WS,CSCI,Threshold75,0.79,80,20
2889,501010,Q99,ASCI,Threshold75,0.94,80,20
2895,501010,Q99,CSCI,Threshold50,0.92,80,20
3006,501020,Q99,CSCI,Threshold75,0.92,80,20
3051,502010,Q99,ASCI,Threshold75,0.94,80,20
3066,502010,SP_Dur,ASCI,Threshold50,0.94,80,20
3067,502010,SP_Dur,ASCI,Threshold75,0.75,80,20
3068,502010,SP_Dur,ASCI,Threshold75,0.86,80,20
3069,502010,SP_Dur,ASCI,Threshold75,0.94,80,20
3095,502011,DS_Dur_WS,CSCI,Threshold75,0.79,80,20
3111,502011,Q99,CSCI,Threshold50,0.92,80,20
1961,402021,DS_Dur_WS,CSCI,Threshold75,0.79,78.94736842,21.05263158
581,201050,SP_Dur,ASCI,Threshold50,0.86,78.26086957,21.73913043
636,201060,SP_Dur,ASCI,Threshold50,0.94,78.26086957,21.73913043
637,201060,SP_Dur,ASCI,Threshold75,0.75,78.26086957,21.73913043
638,201060,SP_Dur,ASCI,Threshold75,0.86,78.26086957,21.73913043
1557,401080,SP_Dur,ASCI,Threshold75,0.94,78.26086957,21.73913043
2582,403011,SP_Dur,ASCI,Threshold75,0.86,78.26086957,21.73913043
126,101012,DS_Dur_WS,CSCI,Threshold75,0.92,77.77777778,22.22222222
692,201061,SP_Dur,ASCI,Threshold75,0.86,77.77777778,22.22222222
693,201061,SP_Dur,ASCI,Threshold75,0.94,77.77777778,22.22222222
720,201062,DS_Dur_WS,CSCI,Threshold75,0.92,77.77777778,22.22222222
2121,402030,DS_Dur_WS,CSCI,Threshold50,0.92,77.77777778,22.22222222
2957,501011,SP_Dur,ASCI,Threshold50,0.86,77.77777778,22.22222222
2958,501011,SP_Dur,ASCI,Threshold50,0.94,77.77777778,22.22222222
3176,502020,SP_Dur,ASCI,Threshold75,0.86,77.77777778,22.22222222
3177,502020,SP_Dur,ASCI,Threshold75,0.94,77.77777778,22.22222222
746,201062,SP_Dur,ASCI,Threshold75,0.86,77.27272727,22.72727273
747,201062,SP_Dur,ASCI,Threshold75,0.94,77.27272727,22.72727273
36,101010,Q99,CSCI,Threshold75,0.92,76,24
251,201010,Q99,CSCI,Threshold75,0.79,76,24
258,201010,SP_Dur,ASCI,Threshold50,0.94,76,24
259,201010,SP_Dur,ASCI,Threshold75,0.75,76,24
260,201010,SP_Dur,ASCI,Threshold75,0.86,76,24
305,201020,Q99,CSCI,Threshold75,0.79,76,24
313,201020,SP_Dur,ASCI,Threshold75,0.75,76,24
314,201020,SP_Dur,ASCI,Threshold75,0.86,76,24
315,201020,SP_Dur,ASCI,Threshold75,0.94,76,24
360,201030,Q99,CSCI,Threshold75,0.92,76,24
475,201040,SP_Dur,ASCI,Threshold75,0.75,76,24
530,201041,SP_Dur,ASCI,Threshold75,0.86,76,24
791,201070,Q99,CSCI,Threshold75,0.79,76,24
845,201080,Q99,CSCI,Threshold75,0.79,76,24
900,201090,Q99,CSCI,Threshold75,0.92,76,24
1015,201100,SP_Dur,ASCI,Threshold75,0.75,76,24
1224,207010,Q99,CSCI,Threshold75,0.92,76,24
1269,301010,Q99,ASCI,Threshold75,0.94,76,24
1545,401080,Q99,CSCI,Threshold50,0.92,76,24
1985,402021,SP_Dur,ASCI,Threshold50,0.86,76,24
1986,402021,SP_Dur,ASCI,Threshold50,0.94,76,24
