,site,Hydro_Metric,Biol,Threshold,Bio_threshold,Altered,Unaltered
164,101020,DS_Dur_WS,ASCI,Threshold25,0.86,100,0
165,101020,DS_Dur_WS,ASCI,Threshold25,0.94,100,0
166,101020,DS_Dur_WS,ASCI,Threshold50,0.75,100,0
167,101020,DS_Dur_WS,ASCI,Threshold50,0.86,100,0
168,101020,DS_Dur_WS,ASCI,Threshold50,0.94,100,0
169,101020,DS_Dur_WS,ASCI,Threshold75,0.75,100,0
170,101020,DS_Dur_WS,ASCI,Threshold75,0.86,100,0
171,101020,DS_Dur_WS,ASCI,Threshold75,0.94,100,0
173,101020,DS_Dur_WS,CSCI,Threshold25,0.79,100,0
174,101020,DS_Dur_WS,CSCI,Threshold25,0.92,100,0
176,101020,DS_Dur_WS,CSCI,Threshold50,0.79,100,0
177,101020,DS_Dur_WS,CSCI,Threshold50,0.92,100,0
178,101020,DS_Dur_WS,CSCI,Threshold75,0.63,100,0
179,101020,DS_Dur_WS,CSCI,Threshold75,0.79,100,0
180,101020,DS_Dur_WS,CSCI,Threshold75,0.92,100,0
234,201010,DS_Dur_WS,CSCI,Threshold75,0.92,100,0
243,201010,Q99,ASCI,Threshold75,0.94,100,0
246,201010,Q99,CSCI,Threshold25,0.92,100,0
249,201010,Q99,CSCI,Threshold50,0.92,100,0
252,201010,Q99,CSCI,Threshold75,0.92,100,0
297,201020,Q99,ASCI,Threshold75,0.94,100,0
303,201020,Q99,CSCI,Threshold50,0.92,100,0
306,201020,Q99,CSCI,Threshold75,0.92,100,0
333,201030,DS_Dur_WS,ASCI,Threshold75,0.94,100,0
339,201030,DS_Dur_WS,CSCI,Threshold50,0.92,100,0
342,201030,DS_Dur_WS,CSCI,Threshold75,0.92,100,0
381,201031,DS_Dur_WS,ASCI,Threshold25,0.94,100,0
382,201031,DS_Dur_WS,ASCI,Threshold50,0.75,100,0
383,201031,DS_Dur_WS,ASCI,Threshold50,0.86,100,0
384,201031,DS_Dur_WS,ASCI,Threshold50,0.94,100,0
385,201031,DS_Dur_WS,ASCI,Threshold75,0.75,100,0
386,201031,DS_Dur_WS,ASCI,Threshold75,0.86,100,0
387,201031,DS_Dur_WS,ASCI,Threshold75,0.94,100,0
389,201031,DS_Dur_WS,CSCI,Threshold25,0.79,100,0
390,201031,DS_Dur_WS,CSCI,Threshold25,0.92,100,0
392,201031,DS_Dur_WS,CSCI,Threshold50,0.79,100,0
393,201031,DS_Dur_WS,CSCI,Threshold50,0.92,100,0
394,201031,DS_Dur_WS,CSCI,Threshold75,0.63,100,0
395,201031,DS_Dur_WS,CSCI,Threshold75,0.79,100,0
396,201031,DS_Dur_WS,CSCI,Threshold75,0.92,100,0
468,201040,Q99,CSCI,Threshold75,0.92,100,0
522,201041,Q99,CSCI,Threshold75,0.92,100,0
548,201050,DS_Dur_WS,ASCI,Threshold75,0.86,100,0
549,201050,DS_Dur_WS,ASCI,Threshold75,0.94,100,0
557,201050,DS_Dur_WS,CSCI,Threshold75,0.79,100,0
558,201050,DS_Dur_WS,CSCI,Threshold75,0.92,100,0
666,201061,DS_Dur_WS,CSCI,Threshold75,0.92,100,0
765,201070,DS_Dur_WS,ASCI,Threshold75,0.94,100,0
774,201070,DS_Dur_WS,CSCI,Threshold75,0.92,100,0
783,201070,Q99,ASCI,Threshold75,0.94,100,0
789,201070,Q99,CSCI,Threshold50,0.92,100,0
792,201070,Q99,CSCI,Threshold75,0.92,100,0
819,201080,DS_Dur_WS,ASCI,Threshold75,0.94,100,0
827,201080,DS_Dur_WS,CSCI,Threshold75,0.79,100,0
828,201080,DS_Dur_WS,CSCI,Threshold75,0.92,100,0
837,201080,Q99,ASCI,Threshold75,0.94,100,0
843,201080,Q99,CSCI,Threshold50,0.92,100,0
846,201080,Q99,CSCI,Threshold75,0.92,100,0
919,201091,DS_Dur_WS,ASCI,Threshold25,0.75,100,0
920,201091,DS_Dur_WS,ASCI,Threshold25,0.86,100,0
921,201091,DS_Dur_WS,ASCI,Threshold25,0.94,100,0
922,201091,DS_Dur_WS,ASCI,Threshold50,0.75,100,0
923,201091,DS_Dur_WS,ASCI,Threshold50,0.86,100,0
924,201091,DS_Dur_WS,ASCI,Threshold50,0.94,100,0
925,201091,DS_Dur_WS,ASCI,Threshold75,0.75,100,0
926,201091,DS_Dur_WS,ASCI,Threshold75,0.86,100,0
927,201091,DS_Dur_WS,ASCI,Threshold75,0.94,100,0
929,201091,DS_Dur_WS,CSCI,Threshold25,0.79,100,0
930,201091,DS_Dur_WS,CSCI,Threshold25,0.92,100,0
931,201091,DS_Dur_WS,CSCI,Threshold50,0.63,100,0
932,201091,DS_Dur_WS,CSCI,Threshold50,0.79,100,0
933,201091,DS_Dur_WS,CSCI,Threshold50,0.92,100,0
934,201091,DS_Dur_WS,CSCI,Threshold75,0.63,100,0
935,201091,DS_Dur_WS,CSCI,Threshold75,0.79,100,0
936,201091,DS_Dur_WS,CSCI,Threshold75,0.92,100,0
962,201091,SP_Dur,ASCI,Threshold75,0.86,100,0
963,201091,SP_Dur,ASCI,Threshold75,0.94,100,0
1008,201100,Q99,CSCI,Threshold75,0.92,100,0
1035,203010,DS_Dur_WS,ASCI,Threshold75,0.94,100,0
1038,203010,DS_Dur_WS,CSCI,Threshold25,0.92,100,0
1041,203010,DS_Dur_WS,CSCI,Threshold50,0.92,100,0
1044,203010,DS_Dur_WS,CSCI,Threshold75,0.92,100,0
1116,204010,Q99,CSCI,Threshold75,0.92,100,0
1152,205010,DS_Dur_WS,CSCI,Threshold75,0.92,100,0
1299,301011,DS_Dur_WS,ASCI,Threshold25,0.94,100,0
1302,301011,DS_Dur_WS,ASCI,Threshold50,0.94,100,0
1303,301011,DS_Dur_WS,ASCI,Threshold75,0.75,100,0
1304,301011,DS_Dur_WS,ASCI,Threshold75,0.86,100,0
1305,301011,DS_Dur_WS,ASCI,Threshold75,0.94,100,0
1308,301011,DS_Dur_WS,CSCI,Threshold25,0.92,100,0
1310,301011,DS_Dur_WS,CSCI,Threshold50,0.79,100,0
