"","biol.endpoints","hydro.endpoints","thresholds","comb_code","InterceptCoef","VariableCoef","Deviance","AIC","NullDeviance","InterceptPvalue","VariablePvalue","Delta","McFadden","Nagelkerke","n"
"1","H_ASCI","DS_Dur_WS",0.75,"H_ASCI_DS_Dur_WS_0.75",1.23228068153134,-0.0245570977657794,110.63108131384,114.63108131384,149.078205908142,2.66541390278749e-06,4.24196555124042e-06,"Positive",0.1409,0.219651,111
"2","D_ASCI","DS_Dur_WS",0.75,"D_ASCI_DS_Dur_WS_0.75",0.93511721328845,-0.0288294085600143,110.39923207034,114.39923207034,147.200655146816,0.00017226625785719,0.000108520563008677,"Positive",0.1427,0.225478,107
"3","H_ASCI","DS_Mag_50",0.75,"H_ASCI_DS_Mag_50_0.75",-0.0497880116251485,-2.00883727534088,301.964955417658,305.964955417658,306.87387915599,0.723912969298675,0.194529733926924,"Positive",-1.34489,-2.68496,222
"4","D_ASCI","DS_Mag_50",0.75,"D_ASCI_DS_Mag_50_0.75",-0.225862694808869,-3.33952523285242,295.741088613444,299.741088613444,301.893651499475,0.117610417800161,0.138066007565415,"Positive",-1.29656,-2.54792,222
"5","H_ASCI","DS_Mag_90",0.75,"H_ASCI_DS_Mag_90_0.75",0.0931327678990022,-1.26636443831363,271.724405067232,275.724405067232,283.365400358969,0.561992550933876,0.0310853575272281,"Positive",-1.11006,-2.16182,205
"6","D_ASCI","DS_Mag_90",0.75,"D_ASCI_DS_Mag_90_0.75",0.0348287082766657,-2.06202079907411,261.559306488653,265.559306488653,277.815958619254,0.833677321319014,0.00734148035930106,"Positive",-1.03113,-1.96588,203
"7","H_ASCI","DS_Tim",0.75,"H_ASCI_DS_Tim_0.75",1.10573230978975,-0.100532519986683,128.02541107998,132.02541107998,148.129080973097,2.3512815342664e-06,0.000826708220949968,"Positive",0.0058253,0.00961392,116
"8","D_ASCI","DS_Tim",0.75,"D_ASCI_DS_Tim_0.75",0.930264335278001,-0.0836103920293713,134.917321540213,138.917321540213,149.819846259577,3.47513057117954e-05,0.00297295063279004,"Positive",-0.0476935,-0.0814345,115
"9","H_ASCI","FA_Dur",0.75,"H_ASCI_FA_Dur_0.75",0.847500910233899,-0.55250595336286,24.1100191924077,28.1100191924077,30.316406492973,0.114942739749046,0.117638335708521,"Positive",0.812775,0.994267,22
"10","D_ASCI","FA_Dur",0.75,"D_ASCI_FA_Dur_0.75",0.847500910233899,-0.55250595336286,24.1100191924077,28.1100191924077,30.316406492973,0.114942739749046,0.117638335708521,"Positive",0.812775,0.994267,22
