"","metric","Threshold25","Threshold50","Threshold75","n","Type","Biol","Bio_endpoint","Bio_threshold","Hydro_endpoint"
"1","H_ASCI_DS_Dur_WS_0.75_Positive",105.265955583838,66.9366651371849,35.7160348853454,111,"Positive","ASCI","H_ASCI",0.75,"DS_Dur_WS"
"2","H_ASCI_Q99_0.75_Positive",1210.49819629938,692.674482920899,320.523709493976,278,"Positive","ASCI","H_ASCI",0.75,"Q99"
"3","H_ASCI_SP_Dur_0.75_Positive",55.7340359584388,38.0907816873922,20.5630611194407,114,"Positive","ASCI","H_ASCI",0.75,"SP_Dur"
"4","H_ASCI_DS_Dur_WS_0.86_Positive",91.3794383479748,54.4964297996265,26.6457724606784,111,"Positive","ASCI","H_ASCI",0.86,"DS_Dur_WS"
"5","H_ASCI_Q99_0.86_Positive",707.162379139493,378.493898930199,166.422543329954,278,"Positive","ASCI","H_ASCI",0.86,"Q99"
"6","H_ASCI_SP_Dur_0.86_Positive",46.609425514013,29.2324242696026,14.691158738781,114,"Positive","ASCI","H_ASCI",0.86,"SP_Dur"
"7","H_ASCI_DS_Dur_WS_0.94_Positive",31.507199065514,16.7306800124649,7.68261719687919,111,"Positive","ASCI","H_ASCI",0.94,"DS_Dur_WS"
"8","H_ASCI_Q99_0.94_Positive",53.4039757071174,28.1933009715452,12.286253218279,278,"Positive","ASCI","H_ASCI",0.94,"Q99"
"9","H_ASCI_SP_Dur_0.94_Positive",38.9852922174601,22.8699879797251,10.6144791446064,114,"Positive","ASCI","H_ASCI",0.94,"SP_Dur"
"10","H_ASCI_DS_Dur_WS_0.75_Negative",-147.478010005444,-98.2610856986271,-49.2892963264631,195,"Negative","ASCI","H_ASCI",0.75,"DS_Dur_WS"
"11","H_ASCI_Q99_0.75_Negative",-0.0531125098584369,-0.0387116165931093,-0.0237381671076059,76,"Negative","ASCI","H_ASCI",0.75,"Q99"
"12","H_ASCI_SP_Dur_0.75_Negative",-101.343998943284,-62.0156024990742,-30.0408644297913,225,"Negative","ASCI","H_ASCI",0.75,"SP_Dur"
"13","H_ASCI_DS_Dur_WS_0.86_Negative",-140.498588328889,-89.9571854881089,-43.6621427067859,195,"Negative","ASCI","H_ASCI",0.86,"DS_Dur_WS"
"14","H_ASCI_Q99_0.86_Negative",-0.0487573677352804,-0.032120871650025,-0.0167777178674534,76,"Negative","ASCI","H_ASCI",0.86,"Q99"
"15","H_ASCI_SP_Dur_0.86_Negative",-78.5338454034717,-44.0129346656458,-20.0509600799044,225,"Negative","ASCI","H_ASCI",0.86,"SP_Dur"
"16","H_ASCI_DS_Dur_WS_0.94_Negative",-132.490263276605,-81.1399249637919,-38.1781297251391,195,"Negative","ASCI","H_ASCI",0.94,"DS_Dur_WS"
"17","H_ASCI_Q99_0.94_Negative",-0.0480795757659848,-0.0303979733704277,-0.0149337606754588,76,"Negative","ASCI","H_ASCI",0.94,"Q99"
"18","H_ASCI_SP_Dur_0.94_Negative",-70.057127605329,-37.9536528623085,-16.8779308039631,225,"Negative","ASCI","H_ASCI",0.94,"SP_Dur"
