"","stationcode","sampleid","sampledate","oovere","mmi","csci","latitude","longitude","DS_Dur_WS","DS_Mag_50","DS_Mag_90","DS_Tim","FA_Dur","FA_Mag","FA_Tim","Q99","SP_Dur","SP_Mag","SP_ROC","SP_Tim","Wet_BFL_Dur","Wet_BFL_Mag_10","Wet_BFL_Mag_50","Wet_Tim"
"1","312PS0099","312PS0099_06142010_BMI_RWB_1","6/14/10",1.11687099,1.07707254,1.09697177,34.77948,-119.95802,0,-0.000270833,-0.000360583,0,NA,NA,NA,-0.000333333,0,-0.000395667,3.59e-07,0,0,-5.83e-05,-0.000229333,0
"2","312WE1028","312WE1028_05292002_BMI_RWB_1.0","5/29/2002",1.28393244,0.73128893,1.00761068,34.74721,-119.71562,0,-1.04e-05,-7.71e-05,-4,NA,NA,NA,-4.17e-05,0,-0.001333333,1.93e-07,0,0,0,0,0
"3","312WE1035","312WE1035_05302002_BMI_RWB_1.0","5/30/2002",0.98393678,1.15885541,1.0713961,34.73287,-119.67637,0,-5.21e-05,-7.29e-05,0,NA,NA,NA,-5.62e-05,0,-0.001625167,-1.42e-06,0,0,0,-4.17e-05,0
"4","314CE0200","314CE0200_05222007_BMI_RWB_1.0","5/22/2007",0.6288809,0.41428521,0.52158305,34.59277,-120.16055,-87,0.525664165,0.538844668,-1,NA,NA,NA,7.824923288,-1,5.88675,2.39e-05,0,0,0.083750017,-0.4632417,-1
"5","314SCCNSY","314SCCNSY_04232014_BMI_RWB_1.0","4/23/2014",0.89242347,0.66812967,0.78027657,34.5967,-119.9088,0,-0.00075,-0.0008772,0,NA,NA,NA,-6.23e-05,0,-0.000875166,3.27e-07,0,0,-5.42e-05,-2.08e-05,0
"6","314SYC","314SYC_04152001_BMI_CSBP_Trans_1.0","4/15/2001",0.97180559,0.7031421,0.83747385,34.58799,-120.02651,0,0,0.0427,0,NA,NA,NA,0.628634585,0,0.86590015,0.000139832,0,0,0,0.253708333,0
"7","314SYL","314SYL_06292011_BMI_RWB_MCM_1.0","6/29/2011",0.87766387,0.69209471,0.78487929,34.64387,-120.43045,86.5,-1.735583334,0.089170833,-2.5,NA,NA,NA,13.98767166,-2,17.40504184,3.33e-07,0,0.5,0.001,0.076520817,-0.5
"8","314SYRASV","314SYRASV_04222014_BMI_RWB_1.0","4/22/2014",0.56495699,0.64710901,0.606033,34.585,-120.1446,-6,0.7229375,0.59314167,-0.5,NA,NA,NA,7.282802914,-4,4.7040418,0.000144347,0,0,0.162852075,-0.302545835,0
"9","314WE0542","314WE0542_07112000_BMI_CSBP_Trans_1.0","7/11/2000",0.9514762,0.82783002,0.88965311,34.55085,-120.3583,-6,0,0.01,-2,NA,NA,NA,0,27,0,-0.029761905,-29,-25,-0.832,1.5,-4
"10","314WE0677","314WE0677_07232008_BMI_RWB_1.0","7/23/2008",0.89663748,1.01038699,0.95351224,34.7477,-120.05303,0,0.001052067,0.00054375,0,NA,NA,NA,-0.000155012,0,-0.000541667,-1.98e-06,0,0,0.000216666,0.001895867,0
