"","biol.endpoints","hydro.endpoints","thresholds"
"1","H_ASCI","DS_Dur_WS",0.75
"2","D_ASCI","DS_Dur_WS",0.75
"3","H_ASCI","DS_Mag_50",0.75
"4","D_ASCI","DS_Mag_50",0.75
"5","H_ASCI","DS_Mag_90",0.75
"6","D_ASCI","DS_Mag_90",0.75
"7","H_ASCI","DS_Tim",0.75
"8","D_ASCI","DS_Tim",0.75
"9","H_ASCI","FA_Dur",0.75
"10","D_ASCI","FA_Dur",0.75
"11","H_ASCI","FA_Mag",0.75
"12","D_ASCI","FA_Mag",0.75
"13","H_ASCI","FA_Tim",0.75
"14","D_ASCI","FA_Tim",0.75
"15","H_ASCI","Q99",0.75
"16","D_ASCI","Q99",0.75
"17","H_ASCI","SP_Dur",0.75
"18","D_ASCI","SP_Dur",0.75
"19","H_ASCI","SP_Mag",0.75
"20","D_ASCI","SP_Mag",0.75
"21","H_ASCI","SP_ROC",0.75
"22","D_ASCI","SP_ROC",0.75
"23","H_ASCI","SP_Tim",0.75
"24","D_ASCI","SP_Tim",0.75
"25","H_ASCI","Wet_BFL_Dur",0.75
"26","D_ASCI","Wet_BFL_Dur",0.75
"27","H_ASCI","Wet_BFL_Mag_10",0.75
"28","D_ASCI","Wet_BFL_Mag_10",0.75
"29","H_ASCI","Wet_BFL_Mag_50",0.75
"30","D_ASCI","Wet_BFL_Mag_50",0.75
"31","H_ASCI","Wet_Tim",0.75
"32","D_ASCI","Wet_Tim",0.75
"33","H_ASCI","DS_Dur_WS",0.86
"34","D_ASCI","DS_Dur_WS",0.86
"35","H_ASCI","DS_Mag_50",0.86
"36","D_ASCI","DS_Mag_50",0.86
"37","H_ASCI","DS_Mag_90",0.86
"38","D_ASCI","DS_Mag_90",0.86
"39","H_ASCI","DS_Tim",0.86
"40","D_ASCI","DS_Tim",0.86
"41","H_ASCI","FA_Dur",0.86
"42","D_ASCI","FA_Dur",0.86
"43","H_ASCI","FA_Mag",0.86
"44","D_ASCI","FA_Mag",0.86
"45","H_ASCI","FA_Tim",0.86
"46","D_ASCI","FA_Tim",0.86
"47","H_ASCI","Q99",0.86
"48","D_ASCI","Q99",0.86
"49","H_ASCI","SP_Dur",0.86
"50","D_ASCI","SP_Dur",0.86
"51","H_ASCI","SP_Mag",0.86
"52","D_ASCI","SP_Mag",0.86
"53","H_ASCI","SP_ROC",0.86
"54","D_ASCI","SP_ROC",0.86
"55","H_ASCI","SP_Tim",0.86
"56","D_ASCI","SP_Tim",0.86
"57","H_ASCI","Wet_BFL_Dur",0.86
"58","D_ASCI","Wet_BFL_Dur",0.86
"59","H_ASCI","Wet_BFL_Mag_10",0.86
"60","D_ASCI","Wet_BFL_Mag_10",0.86
"61","H_ASCI","Wet_BFL_Mag_50",0.86
"62","D_ASCI","Wet_BFL_Mag_50",0.86
"63","H_ASCI","Wet_Tim",0.86
"64","D_ASCI","Wet_Tim",0.86
"65","H_ASCI","DS_Dur_WS",0.94
"66","D_ASCI","DS_Dur_WS",0.94
"67","H_ASCI","DS_Mag_50",0.94
"68","D_ASCI","DS_Mag_50",0.94
"69","H_ASCI","DS_Mag_90",0.94
"70","D_ASCI","DS_Mag_90",0.94
"71","H_ASCI","DS_Tim",0.94
"72","D_ASCI","DS_Tim",0.94
"73","H_ASCI","FA_Dur",0.94
"74","D_ASCI","FA_Dur",0.94
"75","H_ASCI","FA_Mag",0.94
"76","D_ASCI","FA_Mag",0.94
"77","H_ASCI","FA_Tim",0.94
"78","D_ASCI","FA_Tim",0.94
"79","H_ASCI","Q99",0.94
"80","D_ASCI","Q99",0.94
"81","H_ASCI","SP_Dur",0.94
"82","D_ASCI","SP_Dur",0.94
"83","H_ASCI","SP_Mag",0.94
"84","D_ASCI","SP_Mag",0.94
"85","H_ASCI","SP_ROC",0.94
"86","D_ASCI","SP_ROC",0.94
"87","H_ASCI","SP_Tim",0.94
"88","D_ASCI","SP_Tim",0.94
"89","H_ASCI","Wet_BFL_Dur",0.94
"90","D_ASCI","Wet_BFL_Dur",0.94
"91","H_ASCI","Wet_BFL_Mag_10",0.94
"92","D_ASCI","Wet_BFL_Mag_10",0.94
"93","H_ASCI","Wet_BFL_Mag_50",0.94
"94","D_ASCI","Wet_BFL_Mag_50",0.94
"95","H_ASCI","Wet_Tim",0.94
"96","D_ASCI","Wet_Tim",0.94
