"","StationCode","SampleID","SampleDate","H_ASCI","D_ASCI","NA","DS_Dur_WS","DS_Mag_50","DS_Mag_90","DS_Tim","FA_Dur","FA_Mag","FA_Tim","Q99","SP_Dur","SP_Mag","SP_ROC","SP_Tim","Wet_BFL_Dur","Wet_BFL_Mag_10","Wet_BFL_Mag_50","Wet_Tim"
"1","312PS0099","312PS0099_06/14/10_2",NA,0.784936724,0.771153675,NA,0,-0.000270833,-0.000360583,0,NA,NA,NA,-0.000333333,0,-0.000395667,3.59e-07,0,0,-5.83e-05,-0.000229333,0
"2","402BA0079","402BA0079_05/28/08_1",NA,0.765032889,0.767392935,NA,-3,0.065831665,-0.008568418,-5,NA,NA,NA,4.326902324,-6,13.622825,7.76e-08,0,0.5,0.289007668,0.094478834,-0.5
"3","402BA0095","402BA0095_05/29/08_1",NA,1.034711242,0.935744404,NA,0,-8.34e-05,-7.08e-05,0,NA,NA,NA,1.92e-09,0,-0.001708667,6.09e-06,0,0,-2.5e-05,0,0
"4","402BA0143","402BA0143_05/21/08_1",NA,0.946687754,0.91990179,NA,-159,-0.005875,-0.114743144,-36,NA,NA,NA,18.70504531,-3,32.0381045,4.35e-08,0,0,-0.04791825,-0.020145834,-3
"5","402BA0287","402BA0287_06/09/08_2",0006-09-08,0.971804075,NA,NA,0,-0.000427084,-0.000660417,0,NA,NA,NA,-0.000431467,0,-0.000646,3.02e-07,0,0,0.0190416,0.011375167,0
"6","402BA0335","402BA0335_05/27/08_2",NA,0.666458476,0.615752098,NA,-97,0.578645665,0.70529733,-5,-5,88.51270352,0,8.250127,-4,25.998,0.00026376,0,0,0.008287483,0.569896167,-3
"7","403BA0015","403BA0015_05/19/08_1",NA,1.182164104,1.115393962,NA,0,-1.65e-08,-3.33e-05,0,NA,NA,NA,-6.88e-05,0,-0.000123331,-1.08e-06,0,0,-3.3e-08,-4.17e-05,0
"8","403BA0027","403BA0027_06/18/14_1",NA,0.945257169,1.02367677,NA,0,-6.25e-05,-0.000114596,-2,NA,NA,NA,-0.000416667,0,-0.0013125,1.92e-06,0,0,0,0,0
"9","403BA0068","403BA0068_05/14/08_1",NA,0.705523667,0.6069514,NA,-11,0.000124999,0.002935417,-9,-1.5,1.545369063,-31.5,1.048971667,-1,0.570166667,-8.42e-06,0,-4,0,-0.722333667,-22
"10","403BA0136","403BA0136_06/17/14_1",NA,0.847510867,0.878007702,NA,0,-0.000427084,-0.000775,0,NA,NA,NA,0,0,0.05479185,-7.16e-06,0,0,0,0.002,-4
"11","403BA0171","403BA0171_05/19/08_1",NA,0.946897081,0.961567892,NA,-1,-0.004666667,-0.006514583,-4,NA,NA,NA,-0.0027501,0,-0.008833,1.84e-07,0,0,0.028098501,0.103833167,0
"12","403BA0960","403BA0960_05/21/08_1",NA,0.997293845,0.950553019,NA,-2,0,0,0,NA,NA,NA,0,-72,0,6.4e-06,0,1,0,0,-1
"13","403S00640","403S00640_06/11/09_2",0006-11-09,0.874679134,0.861876442,NA,-1,-0.0131665,-0.0058835,-1,NA,NA,NA,-0.009166767,-2,-0.04233333,-1.4e-05,0,-3,-0.013833333,0.0299585,-4
"14","403S00831","403S00831_06/10/10_1",0006-10-10,0.775656174,0.885027049,NA,0,0.0278229,0.0079603,-9,NA,NA,NA,-0.000279283,0,-0.000729167,5.52e-08,0,0,0.000562483,-0.000124967,0
"15","403S00875","403S00875_06/24/10_1",NA,1.085009507,1.056282842,NA,0,7.5e-10,1.25e-05,0,NA,NA,NA,0.000154266,0,0.00035167,-1.82e-07,0,0,0,3e-09,0
"16","403S01195","403S01195_06/10/09_1",0006-10-09,0.902504272,0.878650175,NA,0,-0.01548,-0.024716665,0,NA,NA,NA,0.3911124,0,-0.007833,4.94e-07,0,0,-0.005575333,0.03052,0
"17","403S01272","403S01272_06/09/09_1",0006-09-09,0.848795376,0.668706945,NA,10,0.01,-0.51,-11,NA,NA,NA,68.454075,-12,27.70316667,-0.26942602,-15,0,0.03,0.1,-54
"18","403S01536","403S01536_07/12/11_2",0007-12-11,0.831359993,0.915869811,NA,-2,0,0.1,-2,NA,NA,NA,0,27,0,-0.029761905,-29,-25,-0.832,1.5,-4
"19","403S01707","403S01707_06/07/10_1",0006-07-10,0.964201128,0.816379925,NA,0,0.000645834,-0.004837467,0,NA,NA,NA,0.006053833,0,-0.014335835,4.33e-08,0,0,0.007116567,0.029614583,0
"20","403S01728","403S01728_07/13/11_1",NA,0.876075759,0.695762467,NA,-4,0.01,0,-42,NA,NA,NA,0.4165,-43,1.0625,0.045833333,0,41,0,1.6,0
"21","403S01784","403S01784_06/09/09_1",0006-09-09,0.771658585,0.588322529,NA,-4.5,-0.04,-0.33,-64,NA,NA,NA,116.9638817,-88,87.13529167,-0.016001826,0,5.5,0.1,0.1,-8.5
"22","403S01883","403S01883_06/21/10_1",NA,0.865103408,0.933050007,NA,3,0,0,0,NA,NA,NA,0.00688925,0,-0.004292,-9.49e-07,0,0,0.0070251,0.014895834,0
"23","403S02363","403S02363_06/16/11_1",NA,0.665074306,0.750883955,NA,0,-0.011125,-0.022937497,0,NA,NA,NA,0.54131324,0,-0.00837333,-6.11e-08,0,0,-0.0080765,-0.01613,0
"24","403S02764","403S02764_06/14/11_1",NA,0.418621299,0.430992777,NA,-81,0.103604333,0.068474998,0,0.5,3.458721489,0,0.550133125,0,-0.013104167,1.09e-07,0,0.5,0.069400007,0.060249967,-0.5
"25","403S03643","403S03643_06/24/10_2",NA,0.833667305,0.843174876,NA,0,0.003565407,-0.017475334,0,NA,NA,NA,0.373248312,0,-0.00833667,1.66e-07,0,0,0.01115,0.087,0
"26","403S03832","403S03832_06/08/09_1",0006-08-09,0.928875137,0.868480813,NA,-6,0,0.1,-5,NA,NA,NA,0.001958333,-80,0.004333333,-3.31e-05,-1,5,-0.5,0,-6
