"","X","site","Hydro_Metric","Biol","Threshold","Bio_threshold","YearsWithData","Unaltered","Altered","New_Name","alteration_50pct_time"
"6",6,101010,"DS_Dur_WS","ASCI","Threshold50",0.94,10,50,50,"I01-010","Unaltered"
"24",24,101010,"Q99","ASCI","Threshold50",0.94,25,80,20,"I01-010","Unaltered"
"42",42,101010,"SP_Dur","ASCI","Threshold50",0.94,16,37.5,62.5,"I01-010","Altered"
"60",60,101011,"DS_Dur_WS","ASCI","Threshold50",0.94,8,37.5,62.5,"I01-011","Altered"
"78",78,101011,"Q99","ASCI","Threshold50",0.94,25,92,8,"I01-011","Unaltered"
"96",96,101011,"SP_Dur","ASCI","Threshold50",0.94,16,37.5,62.5,"I01-011","Altered"
"114",114,101012,"DS_Dur_WS","ASCI","Threshold50",0.94,9,44.4444444444444,55.5555555555556,"I01-012","Altered"
"132",132,101012,"Q99","ASCI","Threshold50",0.94,25,96,4,"I01-012","Unaltered"
"150",150,101012,"SP_Dur","ASCI","Threshold50",0.94,16,43.75,56.25,"I01-012","Altered"
"168",168,101020,"DS_Dur_WS","ASCI","Threshold50",0.94,1,0,100,"I01-020","Altered"
"186",186,101020,"Q99","ASCI","Threshold50",0.94,25,100,0,"I01-020","Unaltered"
"204",204,101020,"SP_Dur","ASCI","Threshold50",0.94,6,33.3333333333333,66.6666666666667,"I01-020","Altered"
"222",222,201010,"DS_Dur_WS","ASCI","Threshold50",0.94,10,30,70,"J01-010","Altered"
"240",240,201010,"Q99","ASCI","Threshold50",0.94,25,8,92,"J01-010","Altered"
"258",258,201010,"SP_Dur","ASCI","Threshold50",0.94,25,28,72,"J01-010","Altered"
"276",276,201020,"DS_Dur_WS","ASCI","Threshold50",0.94,12,41.6666666666667,58.3333333333333,"J01-020","Altered"
"294",294,201020,"Q99","ASCI","Threshold50",0.94,25,8,92,"J01-020","Altered"
"312",312,201020,"SP_Dur","ASCI","Threshold50",0.94,25,32,68,"J01-020","Altered"
"330",330,201030,"DS_Dur_WS","ASCI","Threshold50",0.94,5,40,60,"J01-030","Altered"
"348",348,201030,"Q99","ASCI","Threshold50",0.94,25,96,4,"J01-030","Unaltered"
"366",366,201030,"SP_Dur","ASCI","Threshold50",0.94,12,50,50,"J01-030","Unaltered"
"384",384,201031,"DS_Dur_WS","ASCI","Threshold50",0.94,1,0,100,"J01-031","Altered"
"402",402,201031,"Q99","ASCI","Threshold50",0.94,25,100,0,"J01-031","Unaltered"
"420",420,201031,"SP_Dur","ASCI","Threshold50",0.94,6,33.3333333333333,66.6666666666667,"J01-031","Altered"
"438",438,201040,"DS_Dur_WS","ASCI","Threshold50",0.94,12,66.6666666666667,33.3333333333333,"J01-040","Unaltered"
"456",456,201040,"Q99","ASCI","Threshold50",0.94,25,12,88,"J01-040","Altered"
"474",474,201040,"SP_Dur","ASCI","Threshold50",0.94,25,32,68,"J01-040","Altered"
"492",492,201041,"DS_Dur_WS","ASCI","Threshold50",0.94,12,66.6666666666667,33.3333333333333,"J01-041","Unaltered"
"510",510,201041,"Q99","ASCI","Threshold50",0.94,25,12,88,"J01-041","Altered"
"528",528,201041,"SP_Dur","ASCI","Threshold50",0.94,25,36,64,"J01-041","Altered"
"546",546,201050,"DS_Dur_WS","ASCI","Threshold50",0.94,11,27.2727272727273,72.7272727272727,"J01-050","Altered"
"564",564,201050,"Q99","ASCI","Threshold50",0.94,25,64,36,"J01-050","Unaltered"
"582",582,201050,"SP_Dur","ASCI","Threshold50",0.94,23,26.0869565217391,73.9130434782609,"J01-050","Altered"
"600",600,201060,"DS_Dur_WS","ASCI","Threshold50",0.94,18,50,50,"J01-060","Unaltered"
"618",618,201060,"Q99","ASCI","Threshold50",0.94,25,16,84,"J01-060","Altered"
"636",636,201060,"SP_Dur","ASCI","Threshold50",0.94,23,26.0869565217391,73.9130434782609,"J01-060","Altered"
"654",654,201061,"DS_Dur_WS","ASCI","Threshold50",0.94,2,50,50,"J01-061","Unaltered"
"672",672,201061,"Q99","ASCI","Threshold50",0.94,25,60,40,"J01-061","Unaltered"
"690",690,201061,"SP_Dur","ASCI","Threshold50",0.94,9,33.3333333333333,66.6666666666667,"J01-061","Altered"
"708",708,201062,"DS_Dur_WS","ASCI","Threshold50",0.94,18,61.1111111111111,38.8888888888889,"J01-062","Unaltered"
"726",726,201062,"Q99","ASCI","Threshold50",0.94,25,32,68,"J01-062","Altered"
"744",744,201062,"SP_Dur","ASCI","Threshold50",0.94,22,31.8181818181818,68.1818181818182,"J01-062","Altered"
"762",762,201070,"DS_Dur_WS","ASCI","Threshold50",0.94,10,20,80,"J01-070","Altered"
"780",780,201070,"Q99","ASCI","Threshold50",0.94,25,8,92,"J01-070","Altered"
"798",798,201070,"SP_Dur","ASCI","Threshold50",0.94,25,44,56,"J01-070","Altered"
"816",816,201080,"DS_Dur_WS","ASCI","Threshold50",0.94,12,33.3333333333333,66.6666666666667,"J01-080","Altered"
"834",834,201080,"Q99","ASCI","Threshold50",0.94,25,8,92,"J01-080","Altered"
"852",852,201080,"SP_Dur","ASCI","Threshold50",0.94,25,40,60,"J01-080","Altered"
"870",870,201090,"DS_Dur_WS","ASCI","Threshold50",0.94,5,40,60,"J01-090","Altered"
"888",888,201090,"Q99","ASCI","Threshold50",0.94,25,96,4,"J01-090","Unaltered"
"906",906,201090,"SP_Dur","ASCI","Threshold50",0.94,12,50,50,"J01-090","Unaltered"
"924",924,201091,"DS_Dur_WS","ASCI","Threshold50",0.94,1,0,100,"J01-091","Altered"
"942",942,201091,"Q99","ASCI","Threshold50",0.94,25,100,0,"J01-091","Unaltered"
"960",960,201091,"SP_Dur","ASCI","Threshold50",0.94,6,33.3333333333333,66.6666666666667,"J01-091","Altered"
"978",978,201100,"DS_Dur_WS","ASCI","Threshold50",0.94,12,58.3333333333333,41.6666666666667,"J01-100","Unaltered"
"996",996,201100,"Q99","ASCI","Threshold50",0.94,25,12,88,"J01-100","Altered"
"1014",1014,201100,"SP_Dur","ASCI","Threshold50",0.94,25,36,64,"J01-100","Altered"
"1032",1032,203010,"DS_Dur_WS","ASCI","Threshold50",0.94,4,50,50,"J03-010","Unaltered"
"1050",1050,203010,"Q99","ASCI","Threshold50",0.94,25,60,40,"J03-010","Unaltered"
"1068",1068,203010,"SP_Dur","ASCI","Threshold50",0.94,12,25,75,"J03-010","Altered"
"1086",1086,204010,"DS_Dur_WS","ASCI","Threshold50",0.94,11,45.4545454545455,54.5454545454545,"J04-010","Altered"
"1104",1104,204010,"Q99","ASCI","Threshold50",0.94,25,24,76,"J04-010","Altered"
"1122",1122,204010,"SP_Dur","ASCI","Threshold50",0.94,25,20,80,"J04-010","Altered"
"1140",1140,205010,"DS_Dur_WS","ASCI","Threshold50",0.94,2,50,50,"J05-010","Unaltered"
"1158",1158,205010,"Q99","ASCI","Threshold50",0.94,25,80,20,"J05-010","Unaltered"
"1176",1176,205010,"SP_Dur","ASCI","Threshold50",0.94,10,20,80,"J05-010","Altered"
"1194",1194,207010,"DS_Dur_WS","ASCI","Threshold50",0.94,3,33.3333333333333,66.6666666666667,"J07-010","Altered"
"1212",1212,207010,"Q99","ASCI","Threshold50",0.94,25,92,8,"J07-010","Unaltered"
"1230",1230,207010,"SP_Dur","ASCI","Threshold50",0.94,10,30,70,"J07-010","Altered"
"1248",1248,301010,"DS_Dur_WS","ASCI","Threshold50",0.94,4,25,75,"K01-010","Altered"
"1266",1266,301010,"Q99","ASCI","Threshold50",0.94,25,48,52,"K01-010","Altered"
"1284",1284,301010,"SP_Dur","ASCI","Threshold50",0.94,12,25,75,"K01-010","Altered"
"1302",1302,301011,"DS_Dur_WS","ASCI","Threshold50",0.94,1,0,100,"K01-011","Altered"
"1320",1320,301011,"Q99","ASCI","Threshold50",0.94,25,100,0,"K01-011","Unaltered"
"1338",1338,301011,"SP_Dur","ASCI","Threshold50",0.94,7,42.8571428571429,57.1428571428571,"K01-011","Altered"
"1356",1356,301020,"DS_Dur_WS","ASCI","Threshold50",0.94,3,100,0,"K01-020","Unaltered"
"1374",1374,301020,"Q99","ASCI","Threshold50",0.94,25,80,20,"K01-020","Unaltered"
"1392",1392,301020,"SP_Dur","ASCI","Threshold50",0.94,8,50,50,"K01-020","Unaltered"
"1410",1410,301030,"DS_Dur_WS","ASCI","Threshold50",0.94,3,100,0,"K01-030","Unaltered"
"1428",1428,301030,"Q99","ASCI","Threshold50",0.94,25,96,4,"K01-030","Unaltered"
"1446",1446,301030,"SP_Dur","ASCI","Threshold50",0.94,8,87.5,12.5,"K01-030","Unaltered"
"1464",1464,401070,"DS_Dur_WS","ASCI","Threshold50",0.94,3,66.6666666666667,33.3333333333333,"L01-070","Unaltered"
"1482",1482,401070,"Q99","ASCI","Threshold50",0.94,25,100,0,"L01-070","Unaltered"
"1500",1500,401070,"SP_Dur","ASCI","Threshold50",0.94,8,75,25,"L01-070","Unaltered"
"1518",1518,401080,"DS_Dur_WS","ASCI","Threshold50",0.94,13,46.1538461538462,53.8461538461538,"L01-080","Altered"
"1536",1536,401080,"Q99","ASCI","Threshold50",0.94,25,64,36,"L01-080","Unaltered"
"1554",1554,401080,"SP_Dur","ASCI","Threshold50",0.94,23,34.7826086956522,65.2173913043478,"L01-080","Altered"
