"","var","rel.inf","Flow.Metric.Name","Flow.Component"
"1","Q99",55.1586039185425,"Magnitude of largest annual storm","Peak Flow"
"2","SP_Mag",9.44581916913878,"Spring recession magnitude","Spring recession flow"
"3","DS_Dur_WS",5.56583645702969,"Dry-season duration","Dry-season baseflow"
"4","SP_Dur",5.33841406314414,"Spring duration","Spring recession flow"
"5","DS_Mag_90",4.23471270724208,"Dry-season high baseflow","Dry-season baseflow"
"6","Wet_Tim",4.21659115685974,"Wet-season timing","Wet-season baseflow"
"7","Wet_BFL_Mag_50",3.17542309474657,"Wet-season median baseflow","Wet-season baseflow"
"8","Wet_BFL_Dur",2.66989177501007,"Wet-season duration","Wet-season baseflow"
"9","DS_Tim",2.63819054522163,"Dry-season timing","Dry-season baseflow"
"10","SP_ROC",2.15663671348908,"Spring rate of change","Spring recession flow"
"11","Wet_BFL_Mag_10",2.07863122900171,"Wet-season low baseflow","Wet-season baseflow"
"12","DS_Mag_50",2.01465907308168,"Dry-season median baseflow","Dry-season baseflow"
"13","SP_Tim",1.2050168432869,"Spring timing","Spring recession flow"
"14","FA_Mag",0.0940818661616188,"Fall pulse magnitude","Fall pulse flow"
"15","FA_Tim",0.00749138804382802,"Fall pulse timing","Fall pulse flow"
"16","FA_Dur",0,"Fall pulse duration","Fall pulse flow"
